Item1.Centroid.X,Item1.Centroid.Y,Item1.MajorAxisLength,Item1.MinorAxisLength,Item1.Area
322.2802,236.814,75.0469833274013,69.2401470090936,5436
323.7853,229.086,74.5019909818543,69.2122312682796,5394
325.2375,195.6922,71.7345353043977,68.8013158185729,5165
326.9901,187.9708,72.2882222747476,67.6736284300643,5119.5
329.468,187.6724,72.1635250272528,68.0221428129133,5137
331.7918,186.4022,71.7321119142643,67.3748711100602,5057.5
333.1393,185.6886,71.3005351493518,66.9142683632261,4992
334.0627,184.7871,71.3305053751883,66.6870213185308,4976.5
334.4387,184.359,71.1145394156677,66.2621478527057,4929.5
331.191,187.4751,70.5413149125102,66.5124871588384,4909
305.3943,200.483,71.9135054611469,69.4350338170424,5225
304.4318,200.6519,71.5339049710456,69.2841670996388,5186.5
305.0838,199.9964,71.7764721395355,69.1474653943749,5194
305.4121,199.3951,71.7876160411105,69.3728038113143,5211
293.0824,203.8177,71.4375286929566,70.4530026698293,5264
245.9186,213.4494,75.040088503871,70.4747895217115,5534
247.4241,212.9513,75.569411926831,71.4940700202465,5654.5
248.0426,212.3924,76.3857912919777,72.2130745629019,5773
248.6063,211.6516,77.076949905423,73.1460380958345,5900.5
248.6715,211.5132,78.1558878500999,74.1299926725788,6064.5
248.6675,211.496,79.36380737122,75.1509620035768,6242
248.3083,211.3658,80.0109997151378,76.0300624502366,6366.5
248.3026,211.2775,80.6476772898637,77.0835174620312,6506
247.9944,211.0331,81.6081209334996,77.7395622725635,6639
243.0658,214.3173,82.1851859028322,78.6244833456396,6761.5
240.1413,215.0693,82.6122217730194,79.0511616600943,6834
239.9079,214.952,83.3617816430099,79.6305501320441,6946.5
239.6369,214.3266,84.1520772805592,80.3602953438843,7077
239.3091,213.9089,84.6306013826836,80.9824898411356,7172.5
239.0957,213.6658,85.3906720971162,81.3949498669971,7273.5
238.6799,213.3806,85.4663372108191,82.1322521324489,7346.5
237.8323,213.0578,86.3885973969569,83.304821820068,7532
236.8589,212.7691,87.3006054959053,84.3282286324898,7704
243.0432,212.2513,87.7290612646747,84.6106137984483,7767.5
269.3751,204.3146,88.3605097187851,81.2028201468334,7224
284.242,200.1386,87.6056089534538,82.5270373870991,7494.5
285.4359,200.0169,88.5126228763109,82.7829670431641,7599.5
285.9294,199.9482,88.8702799251761,83.5159664828074,7693
286.6286,199.54,89.5146825455519,83.8297591233415,7776
287.0878,199.479,90.1153178851129,84.2585660517275,7863
287.1168,199.1667,90.4786881798155,84.7434382222151,7933
287.1247,199.3718,91.3078431886428,84.6939226286701,8001.5
287.3239,199.4616,91.3383282377249,85.4000238383479,8068
287.3114,199.3615,91.769406086107,85.4562206271614,8106.5
287.0036,199.7304,92.1536337775648,85.8834159625919,8185
286.9125,200.0106,92.5385867344302,85.8213394620287,8205.5
286.8643,200.01,93.094748042838,86.1384307026894,8280.5
285.1087,200.501,93.3570301961168,86.0339755229412,8279
241.1111,208.5207,92.5262609311397,90.4583854189686,8760
236.518,209.7686,92.5455126707886,90.3495280475154,8752
237.5034,209.4492,92.7090872248248,90.5834490515856,8789.5
237.658,209.4052,92.7690321628256,90.7959201581116,8816.5
237.7955,209.3124,92.835296934926,90.948852388066,8837
237.913,209.2342,93.007905801178,91.4187503068832,8898.5
238.1191,209.3235,93.1567716594556,91.2790448914589,8899.5
238.2695,209.3371,93.2710920526825,91.3650018705688,8919
238.3282,209.4469,93.5051572778656,91.3644103064088,8940.5
235.1513,213.6919,93.681765855698,91.0676591143981,8926
230.2844,219.2207,93.9406244546778,89.4790244208208,8786.5
231.1714,219.1589,94.3354515153659,89.4963082181451,8824.5
231.3594,219.4181,94.5821751483857,89.7093555663911,8871.5
231.7722,219.4416,94.91179196254,89.9594076312557,8926
231.9718,219.4149,95.4595744716528,90.1172901243122,8991.5
232.1608,219.5216,95.2552626495808,90.0768598483397,8969.5
232.3817,219.4428,95.5508567232481,90.4023411914626,9029.5
232.7213,219.4121,95.7661239541602,90.4532716918383,9055.5
232.9056,219.3007,95.6777202950774,90.5248468183869,9054.5
233.0614,219.0851,95.4299079168902,90.702066491177,9050
233.3023,218.9589,95.1964632224406,90.1874193174662,8977
233.4225,218.6229,94.4955097767436,89.7483477900548,8869.5
233.6291,218.5591,93.7179265572389,89.1215455056781,8734
233.4659,218.2136,92.8096340233562,88.2811212794873,8570
233.5119,218.1303,91.8487480181883,87.7542598330935,8431.5
233.6051,217.8006,91.4275302134994,86.9171768392543,8312.5
233.5616,217.6892,90.7175615827537,86.5993017004581,8219.5
233.5499,217.5225,90.1194177592356,86.1267019138809,8120
233.345,217.1775,89.6377860766414,85.9154354549499,8056.5
233.052,216.9091,89.4896269543632,85.5282191077322,8007.5
232.8501,216.7035,89.5754216749368,85.5385511207905,8017
232.7004,216.5634,89.4709842593359,85.3525757819929,7990
232.6229,216.344,89.3930287043861,85.4744571820236,7994
232.5481,216.1792,89.6746234869909,85.5233925988617,8022.5
231.2318,218.5503,89.9476649343528,85.2791231658356,8022.5
230.4963,220.7206,89.9015566463182,85.2343480553948,8012.5
230.7435,220.5145,90.1720357578659,85.4894624644008,8059.5
230.9216,220.1817,90.353277181977,85.6696703366299,8096
230.936,220.016,90.4239605682231,85.6106005983078,8095
230.7691,219.9063,90.6824600093932,85.8510451848864,8139.5
230.7174,219.7701,91.060056207304,85.8060885226886,8170.5
230.913,219.5434,91.3506650261412,86.2068026978238,8234
231.0779,219.456,91.8257913707624,86.5836686030031,8312
231.1796,219.4415,92.3537178697477,86.9852144383966,8400.5
231.2986,219.3554,92.9027153364992,87.3512217523081,8482.5
231.4709,219.1498,93.5000085155744,87.9085186329975,8592.5
231.6024,219.1936,94.1467313979797,88.2852952150011,8687.5
231.8928,219.123,94.5828847760433,88.7960662352089,8778
232.2404,219.0876,95.05587087141,89.2795420542021,8869
232.6137,218.9701,95.4976854376148,89.8273547080719,8964.5
232.7791,218.9985,95.9454558769016,90.1503381798923,9042
233.1143,218.8747,96.3145107686156,90.7518853139258,9134
233.324,218.7105,96.7843154647193,90.8696063767767,9189
233.4672,218.4316,97.0669641404879,91.0032304980953,9230.5
233.4638,218.2855,97.1312517655057,91.1631249004497,9252.5
233.5058,217.9898,96.8601449519186,91.1615935003888,9227
251.4805,210.317,96.6295408345757,93.8684760696206,9488
289.9964,194.6722,95.3288912346761,88.5725021391096,8755
292.3424,194.3625,95.2905088317921,89.2365788244832,8822.5
293.4236,193.7303,95.1481075149115,89.0219346949572,8788.5
294.269,193.2071,95.1946992900651,88.8540869562161,8775
294.9303,192.6925,94.9889738234976,89.043655645444,8777.5
295.3347,192.4033,95.0045894188238,88.7400650335315,8749
295.3354,192.0838,94.9436677956531,88.4985903495597,8723.5
295.4473,191.8316,94.8872569833865,88.298095873722,8692.5
295.5321,191.5973,94.4934080273293,88.1226287253068,8635.5
295.5127,191.3428,94.7550045184349,88.2193411513259,8674.5
295.2935,191.2567,94.6657784352166,88.149731376189,8663.5
295.3295,190.9134,95.0218222565126,88.1848137137891,8691
295.4538,190.6867,95.2468338678663,88.4968669863474,8744
295.2383,190.3427,95.6169007310575,88.8040553371499,8812
294.9106,190.2533,95.9254913307148,89.0125521014716,8853
294.687,190.2792,96.6174720852506,89.4886388247952,8959.5
