X,Y
253.1384,397.7715
256.679,394.1078
257.8987,392.7939
258.209,392.3756
261.0568,389.3889
260.976,389.386
262.8616,387.1487
246.3923,390.1138
245.8295,389.1225
251.8431,382.0529
255.94,378.3292
260.6332,320.1713
245.1294,331.5728
259.212,305.8727
257.6402,308.0234
239.0468,339.9085
256.8438,310.3186
256.6929,311.0875
262.085,303.4744
256.4657,310.5364
238.577,338.3495
232.0272,339.4664
257.0328,290.6883
197.0411,275.3453
194.9887,237.3843
194.664,228.6031
194.0062,227.9945
188.8904,229.66
193.759,242.6662
207.4507,286.9467
223.6851,307.843
233.9174,322.3408
244.7581,400.5795
304.6208,344.3446
259.9987,390.1542
280.8801,314.0364
215.6012,324.1142
206.9686,302.5375
209.2031,283.9734
186.3918,302.5393
222.4557,317.8645
284.0036,242.8493
278.8419,237.9735
252.0244,294.2964
245.5166,264.1772
272.6608,236.9617
269.4235,239.3203
239.8511,266.7411
268.8218,239.0133
269.4191,237.3638
251.6493,301.7832
236.6867,320.1576
246.0728,308.3477
258.5002,272.2793
267.2836,266.7126
257.7419,274.168
246.6757,307.5965
258.7181,273.851
233.9302,320.5291
266.1801,271.3118
259.8037,275.1762
265.7285,273.2075
267.9883,266.3995
270.4844,244.6139
271.9654,246.878
284.0035,244.0386
281.3714,263.4968
263.9565,300.9706
254.3953,331.8346
203.7122,366.496
195.608,382.5871
200.3809,379.1274
241.2714,374.6587
267.7917,325.0967
274.4292,298.8119
276.6455,269.4081
281.6763,239.818
277.7307,236.6867
276.9821,240.1331
282.11,244.1542
277.9731,277.666
256.6831,315.9354
242.341,353.8577
220.719,388.7809
222.6961,388.2936
242.2684,358.0927
247.9895,341.6745
257.1945,310.8679
243.015,319.6306
250.9129,301.414
238.156,320.8553
260.1449,297.0233
258.9239,319.976
251.0925,335.2231
250.9217,338.8455
253.8208,333.1507
249.2146,337.1365
243.2918,329.6094
241.2833,322.3881
235.1302,326.7304
265.0003,281.115
243.8473,317.3149
244.5122,315.4556
244.5457,314.3884
233.6418,324.6313
246.1788,311.1161
246.3174,311.9635
248.0373,309.1595
277.9569,273.2354
258.913,313.3979
256.7258,315.1917
259.4383,310.2934
263.5511,305.3552
260.7944,308.2518
267.1253,301.3549
263.6331,306.1246
267.5044,301.6791
251.6112,332.2826
249.05,344.3273
252.3566,338.3336
252.4478,338.6593
253.0514,339.6426
252.8673,339.7803
275.687,305.7366
253.2124,342.0384
250.3373,358.0545
245.7002,363.5449
246.4453,364.0161
249.0901,362.7695
247.6201,364.02
247.6843,365.3166
252.2051,360.246
256.0623,356.0252
253.1216,358.4729
251.3326,360.719
252.8639,357.4312
253.3039,355.5022
254.6706,354.2811
259.4769,348.4219
251.4359,353.404
249.1361,354.2844
252.5993,350.3283
249.2778,351.1422
249.7271,349.9242
254.1655,343.9026
253.9381,342.4732
255.1586,341.1886
256.2948,338.1827
256.3629,336.3759
255.5737,335.8615
256.0416,333.0533
276.3089,298.6594
275.3073,298.383
252.8295,334.1618
258.835,334.3741
228.2951,312.2642
247.5703,265.7112
229.2626,254.4125
227.7336,249.7148
242.0013,243.7843
242.2578,244.6686
226.5678,299.4421
224.2392,302.234
239.6513,250.8647
220.5368,309.6526
217.7587,314.6555
218.8732,314.6706
245.1734,286.1603
220.7932,310.5331
210.256,308.5539
213.0717,303.9148
213.3891,306.2844
228.247,292.7754
228.8026,293.5103
243.0287,279.6716
246.3618,284.6466
250.1281,288.6575
293.9692,225.7787
289.9878,228.3233
292.9662,229.356
292.19,229.2074
290.1639,228.8876
287.3625,233.8342
253.6848,273.9432
251.1019,258.9317
247.7537,260.1758
247.2706,260.6797
247.8144,262.4475
245.7989,263.6932
245.5968,262.7353
275.4608,234.882
274.1439,235.5576
276.2006,234.1749
274.4901,235.0822
250.8723,290.5981
278.1647,229.4688
259.0789,281.6613
249.281,289.0194
294.0858,217.6818
290.3576,216.0724
270.6912,264.2397
286.5799,225.3658
289.6332,220.3677
290.7236,222.8162
290.8984,224.8851
290.1913,227.0047
287.74,228.844
285.824,230.9511
279.2237,236.793
256.4475,282.469
254.3696,283.3011
280.2018,232.1794
252.6652,285.7346
284.594,242.3947
295.2177,230.9929
274.4805,238.1862
253.1401,289.821
249.9785,291.4657
257.4427,283.6553
289.4182,219.2742
292.2597,219.313
290.1757,220.2213
288.556,221.1641
287.3125,222.2006
281.4668,227.6918
237.7661,298.8767
228.2975,290.5037
225.329,286.8066
221.1772,287.8421
223.8842,285.1512
219.7453,286.2205
218.2879,284.7656
219.1841,281.9298
218.2017,282.3891
214.8504,282.8765
219.0877,281.0127
219.4466,277.2101
226.879,264.7708
225.2031,214.3203
226.0951,184.669
224.9666,184.5353
239.3959,156.9434
240.7527,120.9633
169.7621,210.8317
171.9526,209.882
172.9047,213.1211
175.4996,212.6747
176.8234,219.6534
179.3329,220.3709
284.9233,91.38068
192.6732,238.8159
243.9325,175.1915
302.4174,113.9972
199.5662,237.7668
200.1994,240.8584
199.1201,246.0193
202.4354,246.4071
202.2339,251.9897
201.2737,256.5327
200.1435,261.6484
201.4529,266.3924
199.0919,269.7459
197.0408,274.7863
205.0358,295.8742
217.4933,283.0971
220.5544,281.6287
207.9683,295.2201
207.3491,296.674
207.3821,299.3058
205.5185,302.9022
220.7942,291.354
234.0269,277.6962
235.3255,279.9035
236.9931,281.6311
246.4889,274.3416
248.1708,276.0613
253.1816,271.9908
275.1478,224.1224
274.8734,226.7614
263.164,265.2515
283.289,219.2375
278.2057,224.9648
257.0474,270.1819
277.0441,225.6843
277.2047,225.3033
277.2431,226.2089
275.8541,227.0951
254.0228,276.773
243.5191,292.1793
241.4218,292.5674
248.9617,278.9474
242.6597,287.7793
242.7642,289.3547
243.1531,287.7938
243.0275,289.6284
249.1673,279.9544
240.631,292.298
229.6256,296.2005
237.7823,287.6694
230.1452,297.1625
230.1183,297.4398
230.1118,296.3001
235.0999,290.6379
231.3634,297.0112
231.5691,296.6383
236.7856,292.8514
242.8286,288.4681
243.1511,288.5635
243.3057,289.1466
233.6955,299.2477
243.4027,288.6207
247.0456,284.0756
243.5886,288.4865
233.1754,298.7435
243.7226,287.4413
233.2627,298.4971
241.6059,288.7252
248.5743,280.7167
242.8411,289.1778
250.0721,279.2168
243.8593,288.9085
244.982,287.9719
243.6634,288.7886
243.8469,288.6685
244.1588,287.6358
244.8373,286.2899
244.576,287.7821
244.7349,287.7231
243.9452,290.8203
244.6681,291.3983
249.4402,299.7059
245.3808,308.3524
245.7412,308.9756
253.8243,300.9643
254.6144,297.1208
250.1504,305.9263
254.4625,299.4663
250.5271,306.7131
251.0098,305.6547
250.6789,306.8982
250.2307,307.7869
257.0833,300.6655
264.1683,294.6612
265.0456,293.1096
264.9221,294.5588
263.5023,295.6882
228.2053,310.5623
222.7166,290.4353
228.0664,281.7501
229.8687,281.5147
224.5479,291.2621
229.4648,286.2001
229.6908,286.8705
224.17,292.9917
226.3321,236.2734
220.8328,205.0924
222.05,191.7638
223.3198,188.713
223.4703,191.629
221.7365,193.6949
221.3788,195.1164
222.8018,195.3589
222.6268,194.3408
220.3012,200.3071
222.9793,196.4879
222.7051,193.1768
223.7231,192.5087
221.9941,192.0852
222.7151,187.3795
223.6452,187.3223
223.3332,184.1488
244.4084,157.7132
245.4943,157.5116
222.0455,187.3898
182.9832,255.662
244.8748,305.8064
270.5266,361.7878
253.0675,397.7561
295.567,300.8842
230.6169,306.5171
200.1968,310.9131
194.2418,293.3947
190.2264,279.9604
187.096,276.1157
186.8525,272.749
230.2286,211.657
189.3326,268.0181
186.1942,273.537
185.807,272.4826
186.647,269.1956
185.4724,271.642
186.7656,267.4362
185.9106,265.763
303.0022,138.6214
306.1584,135.3287
185.9512,262.3563
185.808,262.3784
186.2634,262.5993
186.2105,260.622
302.9402,132.2578
185.5938,261.0892
199.8542,298.6659
230.8251,274.6813
230.6146,277.5439
229.8695,303.04
254.6013,274.8724
246.9825,279.0747
264.6919,260.6021
265.6752,260.6404
