Item1.Centroid.X,Item1.Centroid.Y,Item1.MajorAxisLength,Item1.MinorAxisLength,Item1.Area
62.39716,237.7445,33.746648653697,27.2597394541409,961
63.65125,236.3546,33.1390534107028,27.1743160234138,940.5
63.87524,235.7412,33.381696912021,27.3689660048296,952.5
64.2475,235.3208,33.0680169402999,26.6095314939767,916.5
65.06129,234.1839,33.5951516919513,26.9425229301444,943.5
65.39233,233.8221,33.5391229050535,27.0149135957662,943.5
65.50753,233.7337,33.0621803441562,27.2590573221662,940.5
65.30508,233.6194,33.3560632431821,27.1265946953363,944
35.47475,223.1717,30.8027300385777,19.0174459977766,610.5
33.15288,221.7928,30.6736407080442,19.5229720281152,622.5
32.64956,222.5894,31.8014967364695,18.8729909013254,623.5
31.785,222.5424,31.9346322611632,18.5749912527566,615.5
31.83254,222.7569,31.9331813828119,19.0017000308184,632
31.72087,222.5066,32.8539624706973,19.190426498798,655
31.60449,222.7482,33.0493887892704,18.8430260857846,646
31.37162,223.0071,33.3260238012621,19.5499701212503,679
31.67926,223.0259,34.2372162376773,19.672557945794,701.5
31.63393,223.1178,34.6476180735209,20.0538781438734,723
31.76275,223.0959,34.6385928910978,20.3935306803074,735.5
32.48012,223.5237,35.6890565917824,20.0833619552053,746
41.62216,235.4936,18.8670773234056,8.82617182626226,168.5
NaN,NaN,0,0,0
NaN,NaN,0,0,0
NaN,NaN,0,0,0
NaN,NaN,0,0,0
NaN,NaN,0,0,0
32.39938,235.0588,21.7090050929232,15.1741812008921,323
31.11469,228.4824,28.0677709433099,25.3426711719809,713.5
30.85758,222.7545,39.1524683763657,24.5928971601308,979.5
30.89678,222.9934,42.286964106431,22.1966333221214,964
30.67505,225.9259,37.9349437102188,22.337211908656,875
30.05992,225.5916,39.8109624916741,22.335165108348,923.5
30.23231,225.8094,40.5342900971556,22.0676905412002,930.5
30.53474,226.2849,40.1478002668449,22.1656650648882,926
30.66596,226.4956,40.6923339141129,22.3365473146305,948
30.85106,227.1294,40.9131705714518,22.5940767228887,963.5
30.96306,227.5206,40.8778033112771,22.9921616806083,979
30.90015,228.2882,40.8765079116204,23.4099772411692,996.5
31.04362,228.4188,42.1416448540765,23.8612653262768,1047
31.28853,228.7216,41.9210395116889,23.5870795671252,1030.5
31.19307,228.878,42.6646539002394,23.7978043660392,1057.5
31.27426,229.1755,42.8017219540141,24.1242492560921,1075
31.50125,229.3382,42.728975324603,24.0663814110083,1069
31.52757,229.1867,43.2917665898667,24.1460054204049,1088
31.6398,229.7067,42.9244886665304,24.8604155608486,1110.5
31.84989,229.4356,42.7704095903099,24.6343720289001,1097
28.74776,231.8108,44.0619709037896,23.9449856012011,1097.5
26.72179,233.9649,43.3356386598947,23.0178028611306,1040
26.6044,233.9287,43.1936157168629,22.543577973115,1014.5
26.38548,233.9772,42.7976740348311,22.4712117699305,1003.5
26.27163,234.6953,43.1609913276422,22.3915238746043,1007.5
26.23159,234.2006,43.3303657514012,22.0821147319402,996
26.24245,234.4456,43.1442102699335,22.4946208418856,1010.5
26.34204,234.6245,43.650198216052,21.9028996177374,996
26.15523,235.1443,43.3694172311026,21.9382132618643,991
26.33499,235.3274,43.6642632863635,22.1181665367005,1007.5
26.63424,235.0721,43.4791998731734,22.1982182890082,1007.5
26.40724,235.1965,42.6793155773836,22.4424605830548,999
26.61745,235.0175,43.6150243738694,22.5471350076862,1026
26.74511,234.5346,43.0715525479839,22.7455167228183,1022
26.84246,234.2864,43.497871725009,23.3385260351676,1059
27.22763,234.1361,43.2252318999656,23.2468129390784,1047
27.37067,233.6625,43.2928493589189,23.1530874853318,1040
51.31022,244.2527,47.9691304849114,34.6466368503792,1730.5
79.92687,263.5971,50.9257769635276,40.6476666409604,2147
93.35754,267.0655,50.9496787123464,41.5735721610665,2134
90.59622,266.7966,49.6240092578927,40.7146210724728,2063
89.07508,266.3474,49.4594270770643,40.8994466161282,2071
86.77986,266.0909,49.5303830480798,41.2159595312505,2107
85.17838,265.902,49.2115622313437,41.9803532222603,2140.5
83.75591,265.476,50.0087020975826,41.1256002304672,2121.5
81.93523,265.4965,49.516348276554,41.2766374770455,2120.5
86.91444,262.9002,51.1671566750679,42.5247295685183,2230.5
84.44738,262.7082,50.8559324426938,42.194336214619,2212.5
82.28448,262.1708,50.9464324165133,42.3180296681394,2227.5
