X,Y
239.356,295.8955
224.9726,290.8873
221.8712,287.7888
219.6887,284.2841
217.1788,280.5359
216.3593,277.978
215.7988,275.905
214.9133,275.0865
214.0861,274.4758
213.939,274.3613
215.2097,272.7137
278.8157,234.7782
281.7534,230.9125
281.4681,229.5713
305.5,224.0405
342.2381,208.2591
340.6992,206.4239
339.318,205.2034
337.9133,203.7047
336.8779,203.0251
335.3352,202.8915
334.5556,203.1885
333.2985,203.1099
320.1391,188.899
319.8534,189.4235
319.2654,188.4183
318.2097,187.9449
316.9904,188.1208
NaN,NaN
NaN,NaN
345.7412,201.5066
339.391,197.1887
339.1521,197.7355
337.9263,197.1908
336.9592,196.9262
336.0978,196.8744
336.1866,196.6734
335.868,196.7507
362.8242,198.4796
372.0698,201.5419
370.4049,201.3414
370.1482,201.1657
369.0764,201.0265
368.6779,201.3383
368.5274,201.3396
368.414,201.2475
372.5963,203.1258
399.4808,231.746
397.3063,230.728
397.6805,229.514
397.0177,228.6956
396.8011,228.2328
397.2785,228.6143
361.214,216.8571
339.5135,201.7301
338.1487,200.2836
336.9817,199.0709
337.5864,198.7094
337.7303,198.6276
337.9995,199.2388
337.9009,199.2806
337.6342,199.3493
337.505,199.6763
338.02,200.0095
337.5235,200.2967
336.9222,200.2823
337.1887,200.4539
361.6624,198.4343
363.0749,198.8349
361.9095,197.3843
NaN,NaN
NaN,NaN
348.0332,192.1266
349.2029,194.09
348.857,194.0689
349.0958,193.6463
349.2167,193.068
349.6672,192.7908
349.3291,192.875
349.3936,192.7356
404.2137,238.9215
398.3773,241.3136
397.9231,240.3807
397.1667,239.7848
397.368,239.6789
341.7396,221.9469
312.4154,203.8468
311.8475,202.7746
311.5394,201.8658
311.0134,200.6344
312.9775,201.9255
NaN,NaN
NaN,NaN
297.0211,200.5555
295.5507,200.0327
295.7068,200.4431
295.8826,200.7257
296.0316,200.5228
296.5695,200.6279
297.0654,201.2609
297.7141,202.0813
298.5014,203.2947
299.0848,204.1928
299.1794,204.9396
298.6014,206.3322
298.5319,206.1762
298.7687,206.5454
341.0935,204.5236
338.5037,204.851
336.6661,202.9149
336.2656,201.7192
335.1948,200.3608
310.6372,185.4447
309.8706,184.2048
309.4873,184.2969
309.3663,183.9733
309.9654,183.4919
308.6916,169.0247
307.2705,168.4549
306.8092,169.0127
305.4947,169.3495
308.553,171.886
NaN,NaN
345.5095,237.7961
314.2355,203.3257
314.6743,204.6014
314.5981,204.8432
315.0157,205.5126
315.0159,205.7517
315.0636,206.4878
315.2541,207.1165
314.5944,191.2109
306.6773,173.5408
304.4492,174.7358
303.3187,174.6148
302.6698,174.3699
300.9018,173.7436
299.3667,173.2671
NaN,NaN
NaN,NaN
NaN,NaN
337.6168,265.56
329.8352,243.5998
329.536,244.4601
329.7125,245.8648
329.6389,246.0206
329.915,247.0275
317.0129,227.7614
317.0167,210.2593
315.7644,208.3286
315.2379,207.9035
315.4751,207.8888
315.092,207.8236
314.6537,200.621
310.2443,175.495
306.1853,174.6094
305.1594,173.9224
304.9085,173.8937
304.6748,174.191
304.0327,173.6849
303.1003,165.7429
302.3553,167.0743
302.2455,167.3321
301.772,167.6547
301.2431,167.7875
302.7371,168.8336
302.0778,169.148
303.1577,170.3591
303.5417,172.6705
302.7932,173.5966
303.8815,174.9317
303.7709,175.3184
303.558,175.6166
303.5406,175.6507
302.693,175.3866
302.8841,175.6938
302.5408,175.3396
302.399,174.9802
302.0581,174.7537
301.3394,174.5954
300.3936,174.2112
300.1944,173.9137
301.0046,174.3978
301.5413,174.3437
305.3533,171.3292
306.121,172.2481
306.6547,171.9005
306.0261,171.5107
305.9834,171.8636
305.203,171.9863
304.8015,171.8637
305.0525,172.7217
304.9589,171.9177
305.402,172.4885
305.668,173.0177
305.8301,173.4548
305.9457,173.1889
305.2371,172.8459
304.89,173.5975
304.952,173.7001
305.416,174.0517
305.3396,173.911
304.9259,174.0527
304.837,174.1162
304.733,173.547
305.2324,173.6618
304.7623,173.1796
303.7554,172.9723
NaN,NaN
NaN,NaN
310.3175,179.8088
306.2498,177.5622
306.3042,177.7529
306.1052,177.9029
306.3026,178.2498
307.2909,178.64
307.7394,178.9185
307.568,178.9044
308.7133,179.8513
309.8965,180.1629
310.5427,180.621
311.0644,180.5733
311.7064,180.9263
312.4561,181.5128
298.9675,175.3613
301.3062,175.7366
300.914,175.8008
300.8207,176.4588
300.1372,176.7385
299.1656,177.5941
NaN,NaN
NaN,NaN
311.1468,185.206
304.4545,180.7039
303.7735,180.8721
303.7556,181.0121
303.7632,181.0516
304.2141,180.7469
305.0135,181.0929
305.0743,180.9926
412.1237,242.2523
450.9562,341.0429
447.956,340.0427
448.4906,338.1816
448.1486,337.9368
450.3973,344.5591
451.7641,360.5543
452.7016,360.2625
453.6217,359.1277
444.7292,344.7398
365.0551,220.7608
326.7589,186.1684
322.8864,184.5748
321.1376,183.7384
319.5538,182.7624
319.0653,182.4202
319.1112,182.9424
319.2796,182.9072
318.7364,182.2089
318.3995,182.1831
318.2229,182.3532
318.0675,183.1566
317.3434,183.5682
317.0627,183.9135
316.9951,184.7116
316.5598,185.4374
316.2573,186.23
316.2047,186.5541
316.6359,188.0013
316.2322,181.6327
314.899,181.9366
313.4294,181.5853
311.5262,181.3755
309.9256,180.7319
308.7853,181.4289
307.2679,181.2946
316.0909,192.5609
NaN,NaN
NaN,NaN
340.0182,208.6206
337.4219,209.5912
335.6655,209.8686
334.4105,210.2369
332.3403,210.7911
330.9209,211.8236
329.4783,212.6862
327.6493,213.6002
348.2567,206.5453
352.7799,189.2122
348.8176,189.0252
346.158,189.039
344.6976,189.6826
342.4462,190.3536
341.2642,190.5814
338.5427,190.8932
336.7505,191.3284
335.527,191.1372
334.6513,191.1086
333.1652,191.2538
332.8046,182.9637
318.1742,176.3249
315.8676,176.563
333.5813,199.1368
NaN,NaN
NaN,NaN
348.9695,195.8346
335.4571,185.6732
333.6417,185.4518
333.109,186.1116
332.1,185.9043
330.928,186.2929
329.0102,186.202
327.5096,186.6385
325.5479,186.8111
323.5574,186.5883
323.8023,186.8846
347.1356,172.1861
343.2473,171.837
342.6113,171.8744
338.9701,171.9744
333.8409,171.6755
331.2962,172.131
330.2828,172.2249
329.4075,172.3441
328.7486,172.7655
326.329,172.5768
NaN,NaN
NaN,NaN
326.0315,200.8883
325.5732,202.0082
325.2667,202.3626
325.0898,202.8102
324.4152,203.9712
324.6933,204.6434
324.8065,206.3342
326.9443,204.7305
335.0148,195.3143
336.6939,174.6434
333.9506,177.639
331.7975,179.0193
331.1143,179.551
330.2532,179.9667
328.8678,180.2481
327.5034,180.43
326.3951,180.7118
326.114,181.2399
325.862,181.2422
326.0691,181.6806
325.5348,182.5054
324.3147,183.8902
322.8162,185.1032
319.7624,185.2642
333.376,181.7461
336.2395,180.4124
329.4281,179.4348
325.204,178.0129
321.8223,178.5211
320.8606,178.3685
319.8983,178.8189
317.2688,179.6486
309.3958,175.4881
304.6261,174.4901
301.1378,173.6942
298.7138,173.0211
294.9747,172.2332
291.2193,172.173
289.0159,172.4038
286.5768,172.5015
284.8756,172.4609
282.4862,172.5025
280.9983,173.2122
286.6321,171.3356
303.4203,170.1595
299.6485,169.0594
296.3126,168.3503
292.9102,167.6689
291.1788,167.7715
289.2758,167.7483
288.0761,167.691
287.03,167.9789
327.2631,168.5705
355.5859,172.0223
355.2844,170.7699
351.4644,169.3708
347.8496,168.7488
345.9756,169.2255
343.8244,169.1612
341.9957,169.113
341.2205,169.5349
340.5456,170.6012
