X,Y
239.6836,407.4465
246.0693,401.2769
250.501,396.8611
253.1108,394.1458
260.5405,387.9031
259.7104,388.5181
260.2344,388.01
263.1523,385.7031
263.9126,384.8296
262.8096,385.5852
243.5933,396.377
241.8198,389.5228
243.8892,379.3181
243.9722,378.5181
243.2036,383.5498
243.2012,383.5381
243.1265,382.0466
242.5,384.4124
241.4219,388.7412
241.7466,386.7349
241.4492,387.8657
241.6025,387.2825
241.5835,387.041
241.8799,385.6838
242.1646,384.8496
241.874,385.6707
280.9141,297.5815
270.4451,283.0972
265.6829,279.5027
288.3738,250.6841
282.2063,263.3148
278.2964,249.4227
275.7388,249.2063
271.8254,250.4265
272.7034,249.5793
255.0256,275.8783
241.7354,297.9554
238.4819,297.9271
239.6157,292.9963
277.1548,268.6357
242.1587,290.7544
279.2378,266.4904
279.4385,266.3574
245.7588,287.1506
279.5056,264.5342
248.2139,284.324
280.0315,264.4242
278.5898,265.127
243.511,286.6345
239.4399,287.2626
268.7798,267.4363
267.5215,267.702
267.0159,267.0385
266.3271,268.5665
266.5432,268.3693
267.8325,267.9932
271.1772,267.5317
226.1919,333.1605
326.0903,376.7938
314.9302,376.0547
305.2124,373.368
301.5938,373.3749
298.0757,373.326
295.3228,373.5157
292.1387,373.6956
291.8789,372.2446
291.9778,372.0438
290.7302,371.4379
288.584,372.3646
285.6956,372.8251
283.7024,373.9227
281.7354,374.1892
279.8032,374.766
277.5452,375.3387
273.2109,374.7645
271.4148,377.0031
267.2083,377.7797
264.5461,376.646
260.9531,377.3082
239.95,348.0038
237.3977,336.2833
238.9878,319.5065
235.9202,316.9885
242.3972,312.9119
245.4006,312.5321
246.8391,312.9341
248.814,312.1655
250.3206,311.6882
252.7949,310.4659
255.5122,308.924
256.7893,306.7773
254.6125,307.6122
259.6848,302.1174
256.532,302.8141
255.6409,302.4393
257.1465,301.2551
256.1851,300.4352
254.9534,301.1948
295.0229,262.3008
284.7644,281.5042
284.3884,282.5305
283.9272,282.6599
283.4707,283.7548
281.5269,286.111
279.4761,288.4315
246.9307,310.8402
246.3376,312.5721
239.5547,306.5524
276.1663,282.0684
243.6506,357.0115
242.7551,354.7938
242.0996,355.6156
242.0752,356.8883
242.1182,356.9501
242.1267,356.8563
242.0337,357.8088
242.1094,358.3009
242.9617,361.8588
241.5542,357.7612
241.7261,357.748
241.9331,359.3457
243.4736,363.5256
243.5728,363.9277
252.9871,356.2719
215.5825,432.8995
216.9224,432.0122
217.5454,431.4236
218.6904,431.6726
218.9683,432.2733
219.0435,432.6852
220.5146,432.6777
222.2051,432.496
222.27,432.7908
223.6919,432.4607
244.1909,427.7737
251.3525,423.2697
254.6147,419.4095
253.8447,418.636
253.5493,417.9149
252.9448,416.7789
251.0459,416.4182
248.6523,417.4307
237.8149,410.5341
237.2979,411.632
238.5391,409.1029
239.0869,407.7142
238.8872,406.868
239.8027,406.045
239.0581,406.2284
238.1104,407.2391
237.2808,408.0107
235.6362,409.4412
240.1826,390.0938
240.6001,388.6013
241.855,385.2563
241.2881,386.6287
243.0527,382.9197
242.9878,383.1633
313.6821,373.2664
784.575,129.0331
522.6648,218.5433
584.7961,186.7698
637.1265,138.5109
263.5703,359.1686
492.8542,223.0667
475.1235,230.7017
463.7354,236.3772
196.449,334.8209
566.3757,173.5432
482.2471,216.0975
461.448,227.0034
448.0474,234.3376
425.9868,244.6707
345.5532,310.9995
390.1504,308.1332
391.7866,277.3644
377.8779,284.7385
373.0454,285.8473
400.9541,315.4362
439.0625,327.6832
415.2744,341.788
400.1431,348.8215
380.9478,357.4186
342.9834,374.7731
328.2471,381.2672
317.709,385.4851
308.4893,388.1222
295.9521,392.2389
283.6196,396.4868
278.5947,398.2969
704.9536,169.613
453.4795,280.3866
418.9939,296.1206
411.3381,298.3632
391.1863,302.9491
642.9609,166.3966
646.7131,165.9895
366.1577,313.6379
606.5632,180.8436
594.0344,185.67
568.157,198.4573
534.2122,213.2205
556.5198,204.7491
529.5234,216.7249
254.7927,341.3625
256.8535,338.5554
259.8293,336.9998
260.8889,331.7952
266.1982,328.412
281.3962,295.8983
271.2209,327.3258
270.8945,324.7595
273.1143,323.854
271.2573,327.8862
234.8933,353.6144
241.1279,359.1104
238.1338,356.0411
236.0637,354.4849
240.5188,358.3389
240.1782,357.4569
237.2141,353.719
240.8618,347.2944
244.77,347.4233
247.0686,344.1558
246.9182,342.4935
250.8167,337.5519
254.2744,332.5313
288.6902,283.0232
324.4954,236.2711
321.1987,234.1267
319.8003,233.7064
320.0122,232.8928
327.1384,228.7007
327.5964,228.3389
336.4521,223.2795
324.1943,231.1001
323.2358,233.748
331.4292,228.9937
316.749,238.3921
311.9873,242.2542
310.5886,241.7163
305.7651,246.7567
309.5669,233.7241
302.822,249.0176
296.04,255.0219
288.8408,260.5118
289.1035,259.8901
249.8865,271.708
279.9558,265.7874
274.1572,262.6582
270.5037,277.5757
228.488,289.7122
228.7595,297.3883
197.2834,337.7231
325.0996,288.3026
337.9558,281.7466
340.9153,281.2147
343.8621,283.2518
344.7986,283.4487
608.0396,150.4879
664.1448,112.7235
670.5269,107.4913
649.5452,118.6327
638.3767,123.8727
621.4937,132.1224
607.98,139.5708
537.6218,180.2147
572.0154,156.5325
477.2397,209.5511
445.4785,224.76
429.7036,231.4855
416.8687,236.5005
405.2876,241.7729
392.1436,247.2373
380.761,253.1575
389.1677,253.5343
248.6768,302.2489
233.9631,345.5916
239.345,342.0966
240.2634,336.0675
239.9641,335.547
240.7297,332.7094
241.1006,331.5061
243.2444,331.2515
250.4609,326.3567
345.9893,252.0405
345.3447,249.3491
351.4705,245.1752
352.3181,245.2905
347.3755,256.2557
350.2295,255.4833
310.0276,293.0052
269.9241,341.0553
271.6772,338.2861
269.5684,340.7135
272.5728,337.6809
269.4536,342.8115
270.9773,342.0305
271.1733,341.6499
269.9651,343.5358
272.24,340.77
272.4028,340.686
269.2688,345.4089
275.5151,336.4327
267.9355,347.9436
273.4048,339.2698
251.7742,327.3896
245.2856,327.9034
242.6863,318.579
244.011,316.5863
246.2598,324.651
246.5337,323.1166
247.1404,321.9902
240.1318,324.7386
244.1882,321.2432
210.5901,318.9727
240.6941,312.7653
209.7515,319.6846
238.2322,316.0339
258.7661,320.3398
266.7744,362.0493
273.5645,352.6133
274.7329,350.5674
278.8853,345.2817
277.375,346.4329
276.4575,347.1133
278.353,344.1121
279.8975,342.9265
280.4712,342.821
277.7666,345.7896
279.5381,345.561
279.5537,345.3726
279.2568,346.0371
282.3882,342.2458
255.0012,349.5044
237.5469,344.9022
217.9473,328.02
151.8828,338.09
142.8342,339.0107
