X,Y
207.7229,188.7191
211.0128,202.4468
209.3495,197.2859
209.122,193.4834
208.185,190.1942
206.9239,183.8394
206.3835,180.1097
224.6971,147.755
233.5017,127.5716
234.0764,129.9198
232.9371,128.8919
233.139,128.3992
286.2935,137.4216
305.6919,141.4277
305.6689,140.8602
305.4543,140.6254
304.934,140.1325
304.4366,140.2742
371.8566,169.6993
405.7012,184.2088
404.7325,184.4821
403.8856,184.7612
403.1402,185.1056
402.6484,185.0855
402.0267,185.4632
401.4841,185.0465
401.469,184.6342
401.448,184.3751
400.8382,183.9813
351.3663,158.4009
302.04,141.7048
299.9843,140.7864
299.571,140.5436
298.5456,139.6113
298.4115,139.2491
297.9896,139.3336
297.6072,139.0021
298.191,138.606
298.6638,138.5905
299.0632,137.9246
299.0397,137.6035
300.0469,137.8488
385.2759,168.4518
387.6096,169.6062
386.6193,169.3082
386.2088,168.9772
385.2139,168.1483
384.7788,167.3896
352.9149,158.7828
315.0128,150.5922
314.2603,150.7443
314.0449,150.4858
313.6451,149.8963
313.2346,149.3915
313.5585,148.3026
314.3313,147.8511
314.689,147.8362
317.2375,148.2024
398.5909,181.4001
410.8613,186.1239
409.4079,185.5609
408.4448,184.6303
407.6744,183.1544
407.1006,181.983
406.7516,180.6877
406.2503,179.3619
405.6368,178.2872
405.1727,177.1744
405.0258,176.2272
404.7269,175.5033
404.399,174.8387
403.4495,174.0935
317.5607,147.1788
302.2089,144.3055
301.3348,143.6752
301.7065,142.2514
301.7262,141.844
306.6284,145.4973
-280.4142,820.1049
NaN,NaN
NaN,NaN
297.4066,131.4663
298.9371,133.8828
299.8821,135.2415
299.8428,135.1875
300.0715,135.146
300.5902,135.5093
301.0981,136.2236
302.1969,136.9049
402.45,174.0067
410.9561,177.8768
410.6622,178.696
410.4147,179.3408
410.4495,180.1067
410.6867,180.5786
410.4098,180.4231
409.4537,180.5735
411.4485,185.7041
411.6434,202.0693
411.1313,201.5092
410.9631,200.056
410.8365,199.9145
410.5208,198.7563
410.3686,197.3541
410.0462,196.3441
410.3123,195.4194
409.4438,192.7057
406.4772,190.4239
322.6017,145.1266
266.9458,124.4995
264.8289,123.6918
264.96,123.2967
265.1046,122.5168
265.1694,122.0283
265.313,122.0458
264.8251,121.0526
264.9376,120.6062
265.782,120.8518
266.8009,120.46
267.4782,120.3741
267.8598,120.1816
268.3209,120.0645
255.1606,115.6398
254.8988,115.4628
255.2538,115.3832
255.0495,115.168
255.1636,114.9476
255.051,114.4787
255.4257,114.2568
255.3313,113.9022
255.6872,113.4471
272.5566,111.6568
283.417,110.8137
283.2167,110.2274
283.3777,110.3666
282.9128,109.6976
282.5317,109.6134
281.7439,109.0058
281.5949,108.9712
281.6227,108.8156
281.2284,108.29
281.3659,107.8414
280.9868,107.863
280.5817,107.9621
247.5853,107.2823
249.0465,107.3842
249.5323,107.2832
249.7065,107.244
249.2946,106.2404
249.1898,105.1933
248.7379,104.512
248.7645,103.9149
249.3515,104.0898
250.2853,104.0845
250.8816,104.1267
251.2544,104.0091
251.0947,103.4595
251.0165,102.9028
250.9413,102.3902
250.9391,101.9053
251.0748,102.0152
276.6294,102.5205
281.2336,102.7204
280.4331,103.0606
280.0802,103.2538
279.6784,102.6816
279.8351,102.8844
279.2859,102.1363
279.4816,102.5213
280.1213,102.6241
280.9043,102.8778
280.8688,102.8456
281.5292,103.0262
280.5674,102.9471
265.9747,106.7675
265.4532,106.4937
266.1102,106.7269
266.0788,106.4985
266.6419,106.8049
266.5741,106.5551
267.8104,107.1314
276.4154,109.2558
388.0526,152.2143
399.4887,159.7358
398.7596,160.0154
398.488,159.9549
398.3204,159.7254
398.4496,159.557
398.5434,159.6498
398.4053,159.3113
417.2379,172.4173
417.0697,173.8002
416.7872,173.5072
416.6563,172.1487
416.6542,172.1608
416.4612,171.911
415.9485,171.8384
415.8139,171.5526
415.3689,171.3378
415.1625,171.3084
404.0042,157.7727
400.547,153.9703
400.2501,153.5921
399.8712,152.2475
399.8951,151.9026
369.9315,140.2256
275.473,110.4236
274.5303,109.8132
274.0358,109.8383
273.2036,109.6514
272.5504,109.4271
272.8003,109.2983
273.381,109.2565
273.5867,109.1494
273.3833,108.7869
273.0333,108.2747
273.4992,108.3137
272.3059,107.8418
260.3436,103.7372
260.3159,103.9447
260.441,103.6344
260.6777,103.7395
260.9107,103.6659
260.5739,103.2025
261.061,102.9154
261.0706,102.6226
261.7134,102.8221
262.1184,102.5047
262.7635,102.0847
271.2982,106.6347
292.5843,125.5386
292.4591,126.3495
292.9406,126.5251
294.6086,126.7504
392.8188,170.9336
411.2877,182.7615
410.8853,183.1421
410.394,183.3433
409.7744,182.8207
410.6697,181.5569
410.2661,181.0523
407.9801,180.6684
308.9271,123.8263
292.8737,116.8053
292.1401,117.2503
292.3308,117.9696
292.2867,118.2699
291.9382,118.0421
291.5958,118.0579
291.1118,117.7964
291.2166,117.7248
291.3551,117.9548
291.9778,118.0744
276.9301,110.4984
277.6467,110.9877
278.115,111.6978
278.3103,112.1417
278.7061,112.5331
279.3613,112.6441
279.8968,112.813
279.7833,112.6367
279.9091,112.9909
279.8695,113.0422
279.8854,113.0457
280.2461,113.3778
280.5957,113.6724
280.3676,113.6111
NaN,NaN
NaN,NaN
NaN,NaN
289.4569,121.0098
286.5076,113.0085
288.95,116.0137
289.2408,116.5878
289.4045,117.1586
289.8728,117.5095
290.7922,118.4989
291.3058,118.8334
291.8194,119.94
292.3572,120.1023
292.779,120.5688
292.9499,120.6587
293.1954,120.9456
293.2929,120.8035
292.9765,120.3845
293.1796,119.9826
293.5204,120.6698
294.382,120.9891
294.705,120.5323
295.1376,120.5543
312.8314,125.0196
327.4335,129.5895
327.0859,129.521
327.7667,129.7026
327.2965,129.6859
326.4447,130.2693
326.0353,130.4711
325.446,130.0916
325.2378,130.3369
300.6702,126.7763
292.4682,126.912
292.2581,127.5058
292.4263,127.7136
292.1202,127.4595
292.3879,127.2105
292.2514,127.4191
291.6784,125.6687
-287.766,829.4502
NaN,NaN
NaN,NaN
305.2678,146.2956
304.3738,144.373
304.1268,143.8091
304.3898,145.1085
304.1516,144.9167
304.5553,145.1615
304.7684,144.615
304.5973,143.6622
304.9146,142.9361
304.996,142.1396
291.3784,115.5142
292.0442,117.1531
292.2866,117.0942
291.7786,116.4973
291.8869,116.2465
292.0079,115.8809
291.9609,116.1261
291.6476,115.5041
291.7273,115.5714
291.6769,114.9167
291.3679,114.503
291.7166,114.5045
315.2357,115.422
314.5486,115.9672
314.4999,116.4299
314.3843,116.5789
314.4897,116.5459
313.9877,116.2257
313.0889,116.0198
312.5684,116.6215
311.3473,116.309
310.251,115.8692
309.8897,116.0362
308.1743,115.6299
284.6234,118.8598
285.4867,119.2852
284.6655,119.1434
284.0272,118.4254
283.6211,118.2431
283.1827,117.8101
282.8689,117.798
282.7716,117.431
282.638,117.5892
259.2881,107.606
261.0858,107.3519
261.2432,106.9856
261.3277,106.1981
260.4969,105.3495
260.4613,104.5212
260.7872,103.9536
260.6293,103.2041
260.6035,103.1075
260.3915,102.4255
292.4697,112.209
388.701,157.7247
410.8086,179.7953
409.5565,180.2645
408.6028,180.1069
408.2087,179.722
408.2872,178.8384
407.9843,178.3825
407.691,178.3397
408.1354,178.7273
337.4509,138.0947
294.3554,117.7543
289.0739,113.6696
287.192,113.0901
286.8494,111.7896
286.1095,110.8238
286.3919,110.2426
286.9472,109.8009
287.1548,110.0084
288.0982,110.1924
288.1591,110.112
272.7382,101.4908
273.1416,102.074
273.6334,101.849
274.2045,101.9432
274.0052,101.8037
274.1476,101.835
274.2127,101.5225
274.6049,101.3663
275.7661,102.3747
280.9398,113.3405
293.0632,202.5843
288.9028,201.8015
287.8644,201.1667
286.5256,202.37
293.3921,149.2169
288.8651,110.9918
288.2667,112.5295
287.9286,112.6329
287.3952,112.9139
287.6388,112.6079
287.8666,112.6439
287.0262,112.0381
286.9073,111.8575
286.9034,111.6056
286.9338,111.3533
287.2578,110.9694
287.0643,110.369
287.5376,110.2778
288.2795,110.5025
290.1667,110.0783
302.167,108.1676
302.6998,108.4888
303.0719,109.518
303.7623,110.1003
321.9543,117.2823
423.2415,173.9412
430.1763,181.0531
429.4474,180.9801
428.5817,180.5724
427.7516,180.342
427.2374,180.2168
426.3942,180.1071
426.121,180.1034
425.813,178.8039
423.3329,171.9084
426.8839,200.0043
427.1406,177.8837
425.1273,167.9965
425.343,171.5247
424.8094,173.3204
424.4232,174.3051
424.494,174.7009
424.5923,174.7592
424.5967,174.9111
424.6564,175.5449
426.0418,178.4868
430.7062,215.2947
427.2787,216.5718
426.5021,217.3685
425.8961,217.776
424.6213,217.7069
423.5057,217.612
422.5045,216.9872
421.4902,216.2014
403.9572,198.4609
333.0567,139.9523
314.0286,128.4742
312.8685,127.8364
312.0408,127.8375
311.4858,127.8646
312.2135,128.7064
299.0559,118.9747
298.6424,118.0511
298.5136,118.3021
298.7188,117.993
298.6263,118.0311
297.9216,117.2446
308.8024,121.2151
404.86,179.2916
405.8906,179.6238
405.3677,178.2879
404.2932,174.1949
402.6425,171.9619
403.3311,173.0438
421.2509,197.2687
419.4728,198.5841
418.7423,199.3799
418.1063,198.4796
417.4378,198.167
416.8401,197.3075
416.3265,196.5744
416.1634,196.1389
415.9424,195.8184
413.3752,177.0096
412.4484,178.0424
412.1184,178.3455
411.8763,178.9341
411.4794,179.0716
411.0391,178.471
410.0123,177.9813
409.4028,177.0864
349.0878,146.3212
294.5241,124.4375
292.7452,124.04
292.196,123.636
292.2089,123.6475
292.4121,123.5475
292.2234,123.5802
291.9342,123.2979
297.403,137.1123
296.6127,135.9484
295.8607,136.169
295.2833,135.9805
295.3484,135.9116
296.3546,136.6042
297.3484,137.1861
297.4108,137.406
296.6592,136.7754
303.8375,137.5521
358.8348,137.1098
366.6301,137.5989
366.8668,137.8323
366.9173,137.9223
367.1788,138.2615
367.9002,138.1492
368.2033,138.4602
368.6377,138.8404
369.2557,139.4961
304.1759,137.7966
304.363,138.0072
304.2981,138.6611
303.809,138.5486
304.1041,138.7216
304.5828,138.7593
305.1526,139.1215
305.8154,139.0551
306.1496,139.2129
307.0377,135.8665
NaN,NaN
NaN,NaN
382.4974,141.7997
384.6597,146.747
385.9724,148.8006
386.8943,150.0128
388.0255,150.838
389.0203,151.1932
390.585,151.4505
391.7361,151.4454
393.5428,151.6827
394.6149,151.6125
396.6832,151.7083
397.9734,151.7621
399.4967,151.9636
400.1578,152.3861
401.2593,152.769
415.6154,153.5423
416.6016,153.9019
418.0031,154.16
418.5239,153.7514
419.3895,154.4229
420.5031,154.9427
422.0703,156.327
423.4924,156.9938
424.2112,157.1008
425.2858,157.4003
429.0791,165.5025
431.9836,175.8031
432.2762,175.9398
432.2462,176.7899
407.7562,168.9957
309.196,133.6596
290.5649,129.92
290.264,129.8864
289.7101,129.4789
289.563,128.676
289.4163,128.3103
289.4851,128.0361
288.9316,127.8394
287.5121,127.3142
286.695,126.5025
284.4737,125.6816
283.5409,124.9529
283.1531,124.9251
282.0133,124.3372
280.7705,124.0641
280.0251,123.7542
279.2194,123.529
268.8206,123.4625
249.3947,124.3019
247.9296,123.9794
247.5826,124.2641
247.5087,124.4553
247.643,124.8498
247.9173,124.8951
247.8493,124.6103
248.3522,124.9268
248.5023,124.3033
248.7755,124.0655
249.1163,123.6454
249.7846,123.8765
250.0602,123.9618
251.0787,124.3386
268.3276,122.8941
268.4955,123.4719
268.851,123.6767
269.904,123.9278
270.2736,123.9544
270.6703,122.5351
NaN,NaN
NaN,NaN
60.59308,197.9206
284.1639,117.7208
380.3359,152.1027
424.3246,171.4563
423.3025,173.7046
423.5502,174.7545
423.1059,175.1669
422.9315,175.6279
423.1223,175.5923
422.453,175.573
422.0905,175.4142
422.264,175.1908
335.4559,142.0346
284.738,128.2672
286.3568,128.0643
287.8662,127.409
288.1926,127.5718
288.4773,126.4675
288.7946,126.1943
289.2928,125.4831
