Target.X,Target.Y,Pupil.X,Pupil.Y
205.8007,89.8695,59.17905,189.9493
278.687,173.7247,40.8242,220.273
278.6698,177.6818,39.42145,220.972
127.4031,59.08712,84.78481,181.6998
363.0218,114.2923,25.56718,206.6788
410.9472,62.94781,19.88532,199.1875
408.7102,275.2457,18.35536,253.8386
347.9032,238.3304,25.536,241.812
212.5177,244.8545,58.68186,238.872
183.9826,269.7637,69.62193,245.8528
