Item1.Centroid.X,Item1.Centroid.Y,Item1.MajorAxisLength,Item1.MinorAxisLength,Item1.Area
116.0882,101.2205,46.5241294786247,39.8593565979939,1939.5
116.0696,100.1544,46.5861889728861,39.777738818884,1937
116.1083,99.33411,46.5114761505409,39.7942557222616,1934
116.0424,98.13913,46.2651097862772,39.6377747605971,1915.5
115.7241,96.97384,46.1126526844089,39.60040588716,1905
115.3702,96.19071,45.9944901414416,39.5351660888599,1899
114.9805,95.2446,46.1147155586529,39.5665088346544,1904.5
114.6808,94.8783,45.9581979529993,39.3761818174988,1890
114.3759,94.69147,45.6010068631555,39.0726415843238,1861
106.4913,95.44523,44.6158302810117,38.1004019979637,1777
58.39465,105.1456,41.2443755473525,26.6039517247904,1147
52.99803,108.0424,41.7955359207526,27.1186143299744,1183
52.25379,107.9987,42.0474368605248,26.5018054802433,1165
52.41888,107.3921,42.684660104336,26.5996503285022,1186.5
52.54528,107.0242,43.2932980184358,27.4899777245893,1244
52.54071,106.5406,44.2756038513539,27.7475081023496,1283.5
52.5666,107.1431,44.6382052209993,28.873319407631,1347.5
52.67447,107.4101,45.7766690036637,29.0154469157812,1389
53.45287,107.6645,47.2161435176228,29.8982789883403,1476.5
53.86768,107.9651,48.2896639263168,30.6403861066012,1548
54.27009,107.9695,49.1517431346055,31.2182288398159,1605
54.6147,107.7146,49.5947962695723,31.9657574989334,1658
54.66766,107.3394,50.1319740031408,32.0110586537915,1678.5
54.60969,106.8841,50.0518819921451,32.0707623127926,1679
56.13067,102.5611,51.726897759184,33.1421651818554,1792
25.34687,231.991,47.4582564557388,39.6194873547351,1871.5
11.21355,176.2521,36.5151739161455,19.5423265412842,666.5
92.06549,50.77491,53.9249877750837,45.6198724640399,2440.5
90.78002,53.86652,51.5246193035691,41.3340912890476,2227.5
89.20854,55.46603,51.1311932602038,41.3913827281009,2213
88.24031,56.22495,50.9364963927908,40.926685308892,2180.5
87.49919,56.49068,50.5363614442356,40.7719993251661,2154.5
86.74281,56.48672,50.3711708630186,40.5042479000646,2134
86.25171,56.71988,50.4699296479313,40.2168103304727,2123.5
72.08524,81.05103,49.2753748109338,36.7619655375275,1894.5
71.72679,81.01423,48.6708660961231,36.803742099317,1874
71.9347,79.03096,49.0298728058771,36.5278203489741,1873.5
72.2691,78.06805,48.9062686179176,36.7726735490318,1881
72.97816,76.95393,48.9221038291315,36.9855886586519,1892
73.23471,76.15708,49.0119950834871,37.152559894062,1904.5
73.33655,75.25983,49.8643906340393,37.7797737984575,1970.5
73.33317,75.19809,50.3347386923175,38.0770414505216,2005
73.91656,74.68019,50.6712033587194,38.3614543905864,2033.5
74.43401,74.01833,51.1554569617606,39.0576562566923,2091
75.22319,73.38002,51.5152628308262,39.2838343077295,2117
75.87576,73.07368,52.6325875138226,40.066977530864,2205.5
76.47598,73.59167,52.6584381472643,40.7468927087781,2244.5
77.06129,74.0183,53.5991590336778,41.0954472269775,2303.5
77.48924,74.17162,53.8707081428401,41.7752763331438,2355
77.19846,74.40179,54.8024797925166,41.3247361192388,2369
76.38827,74.45902,54.4790725918511,41.7827341732714,2381.5
75.94376,73.97065,54.9054588843559,41.2269518018739,2368
53.43733,96.71862,51.2387010664428,31.5209473960978,1687.5
33.90723,119.1366,48.2346453159659,21.8314790579402,1099.5
31.46648,121.0933,48.3715420123493,21.7157517023449,1096.5
32.15588,119.6943,49.1065236660575,22.1332773654975,1135.5
33.21624,117.8084,50.1180852781363,23.2519883039533,1217
34.85292,116.7468,50.5351006487795,24.3360654058399,1285
36.12562,116.9349,50.6938992080049,24.8710958391612,1317.5
52.79012,124.1626,50.9128899921493,30.7880138636289,1639
53.154,125.3078,50.5797981517594,28.9840213422825,1532.5
52.54081,124.9606,49.8206718005853,28.5953917474565,1488.5
52.23575,124.8258,49.1707983253519,28.4381473030608,1462
52.24784,124.9714,48.6368529249256,28.5312984373167,1450.5
52.11361,125.1338,48.2975397214097,28.1814946089663,1423
51.85557,125.0375,48.4551427824483,27.7578057438007,1405.5
51.97575,124.8251,47.4823221746467,27.9677402035252,1388
52.08293,124.6364,46.9778851186352,27.4626021007155,1348.5
54.1923,123.2886,46.3607551572511,28.0919330830461,1362.5
56.11417,122.5444,46.130804570679,28.6214233756188,1381
58.87428,122.1178,46.3063513880375,29.0556154475303,1406.5
61.58253,121.642,46.2551046956228,29.8548268233725,1444
62.66879,121.3292,46.9464431343138,30.3464983893062,1490
63.91388,121.0018,47.4487188063417,30.9968229077747,1538.5
64.74432,120.526,47.7855945713633,31.5188128395979,1575.5
65.76881,120.0161,47.9958634152688,32.3472683127628,1623.5
66.20867,119.8643,48.4740713582902,32.5954762576645,1652.5
66.02935,119.4026,49.1055968917676,32.6045463348756,1675
66.48666,118.719,49.4193669576011,33.1113762192606,1712
67.24349,117.9009,50.0049109693156,33.5505947481348,1755
79.76259,101.7558,50.0498461338354,37.3083716653428,1953
91.77253,77.49062,51.5654279293932,41.9859462042688,2265.5
100.3694,62.52117,54.5543511801488,42.3588682321019,2409
98.80213,63.45901,54.7416449276682,43.1664086388112,2468
97.00536,63.96846,55.029140546594,43.8140309095124,2515.5
96.17903,64.50998,55.0316216368033,43.7620692577868,2514.5
95.03894,64.54919,54.6863272135752,43.6636401143413,2495.5
94.68449,64.39954,54.2056182894578,43.7018162744215,2477
93.60048,63.9133,53.7510777554196,43.3634281346617,2437.5
92.43859,63.98146,52.7926241242465,42.9823506819704,2373.5
92.12222,64.07458,52.6358704302198,42.8872932433541,2362
91.29823,64.3688,52.5161504771661,42.7775503219971,2350
90.6599,64.84647,52.9926512906898,42.6832560109501,2365.5
90.0213,65.6469,53.215687375001,42.8828173907391,2386
89.2913,66.01211,53.6574483589628,43.6567855437885,2450.5
88.77104,66.25481,54.410410768992,43.7447796781581,2489.5
88.21026,66.10382,55.0316623765189,44.1940728381997,2544.5
87.28773,66.77795,55.4016853256106,44.6505414111269,2588
86.13194,67.46008,56.171374908085,44.78546833534,2632.5
84.53726,68.58171,56.6236843202145,44.9949477345232,2666
83.25413,69.07657,57.2805596946993,45.3192750483232,2716.5
82.4057,69.72318,58.0533698474998,45.1614529654731,2743
81.65428,70.07008,58.1585609766929,45.3290562796648,2758.5
80.15216,70.90779,58.425854811286,45.2953858304573,2769
78.02425,72.37154,58.6774721014322,45.1052146342038,2769.5
75.65348,73.58753,58.7611016945267,44.3953323763296,2729.5
73.40509,74.56579,58.6399682447068,43.4655722462515,2666.5
70.85478,88.22195,56.1376280426977,41.3361964715617,2428.5
69.85794,109.9471,56.0851374960999,37.9662083409694,2228
67.27836,108.7063,54.9019335974436,37.3649583226308,2146.5
64.35609,108.9835,54.1768494836083,35.9172171055093,2036
63.04192,109.4811,53.6436622560497,35.4287926345568,1988
61.90314,109.2746,53.33612262728,35.0702430415265,1956.5
61.54307,108.0683,53.0225540688256,35.0718254928759,1944.5
61.04981,106.7146,53.2517443549919,34.905952582095,1944
60.45764,105.5512,52.6495967004062,34.7229088908301,1912
59.53516,104.3989,52.708167412161,34.4395706471216,1898.5
56.20115,105.3241,51.5744501447796,33.7708218335785,1822
28.1432,104.9172,48.9507181215641,20.1595987430437,1030
24.65825,105.7674,48.8284349903603,20.5756078178063,1049
24.02408,104.8023,49.3967518760333,20.1304886857716,1038
23.53176,103.9749,49.8230883395355,20.4177135091793,1062.5
23.49438,103.224,50.9409619165461,20.9222504460406,1112.5
23.14544,102.6315,51.7756934022941,20.7764602131003,1123
56.47676,100.3284,54.725958176168,34.2766261282557,1961.5
82.59608,115.4853,59.5618983292794,39.2172750656088,2439
99.96132,127.5049,57.3969603691631,43.5401610076617,2615.5
95.08337,128.6194,57.3490772174513,41.9784757845246,2519
91.79082,129.0327,57.0944686505892,41.6153026075598,2486
89.43214,129.4236,56.8626594113896,41.2191637910996,2452.5
86.97897,129.431,56.6193988291484,40.4100115119599,2393
84.76105,130.1382,55.5681582437922,39.3634890801613,2288.5
82.60693,130.4656,54.0514420288801,37.8563257279662,2140
80.24748,130.5713,53.1062988549481,36.9061722451594,2050
78.55999,130.3811,51.9382240458787,36.2490571730449,1968.5
77.81432,129.4578,51.6424846596286,35.546228126299,1920
77.80257,128.5411,50.8777588135415,35.7872686954094,1904.5
77.89789,128.0149,51.2378993043145,35.6822237965477,1913
78.39855,126.9162,50.9087241018935,36.278111238027,1932
79.28291,125.3853,51.4765016657335,36.3944574201703,1960
80.01475,124.1945,51.7561140936045,36.933739049543,2000
79.48213,110.38,52.4135885082889,39.300989574067,2155
76.89642,108.1958,52.9122038119904,38.8952508675844,2153
76.04823,107.391,53.6573405497271,39.2084097565639,2201
75.63091,106.7696,54.4158118826795,39.4706993984619,2246.5
75.31252,106.0245,55.3373460740989,39.8373269506495,2306
75.34161,104.7389,55.781155886922,40.3928320931661,2357
75.52663,104.3791,55.99953396752,40.5554465997793,2375.5
76.23854,103.651,56.2372140857991,41.2029580096793,2424.5
76.83289,103.3248,56.2540376303164,41.2917133604241,2430.5
77.36272,102.746,56.4795507492703,41.2656771507461,2438.5
78.56624,102.5856,56.5097367783128,41.8112482326103,2471
80.29993,102.8898,56.6080239708999,42.3636195782586,2509.5
81.993,103.1675,56.5814918346989,42.5933699853636,2521.5
83.66879,103.6394,56.1852833463632,42.6712827197162,2508
84.77426,103.9023,55.5771324263811,42.4096937386189,2466
86.23424,104.0499,54.8919288689652,42.4343261832949,2437
87.90221,104.0014,54.4948110065814,42.5131279116436,2423.5
56.38596,102.7341,51.4584886658458,32.4853052883023,1748
33.23823,103.6007,49.7056893956968,23.7926729091521,1235.5
28.33858,104.718,49.909407678965,22.5609116333224,1176
29.48977,104.2598,49.7188154383255,22.4439952553979,1165.5
31.78171,102.7736,49.9430064719202,24.3402491692172,1270.5
33.71813,100.8656,50.8951079530619,25.7675353567271,1370
35.37098,99.86172,50.5510996380333,26.3829616265452,1394.5
36.69725,98.57902,50.7750860054049,26.8958224567966,1428
38.46515,97.54985,50.8533356919902,28.0145491830136,1489.5
22.3412,101.156,47.615615665745,18.335334377775,910.5
21.5486,101.1276,47.7882447654747,19.2206218021574,958.5
22.4059,98.7206,48.5344605630222,19.9498612882944,1010.5
23.59462,97.2802,49.2610825343616,20.7435472280649,1066.5
24.99792,95.33006,49.8629366802272,21.5415330869112,1121
26.65292,93.47559,49.8013140573631,22.8204663302318,1188
27.90484,92.17644,49.9988906072912,23.6914880864221,1236.5
29.42616,90.92688,49.8678775326127,24.677205381623,1285.5
31.28471,89.9614,50.444118675928,25.2344849866096,1330
34.15961,88.48631,50.2915771713431,26.7283926311853,1405.5
36.35807,86.90794,51.4118477017895,28.3367273191118,1522.5
38.42967,85.63768,52.3713638162698,29.2023138999819,1598.5
44.09946,82.64135,52.6736023418549,30.1348476899055,1659
53.31131,75.304,54.9232316341949,35.3058575667547,2028.5
55.56929,74.1088,55.8768267632139,36.6834620452439,2144.5
58.62791,72.63473,56.2982660739265,38.1928647584941,2249
62.71048,70.30839,57.0743625915835,39.9420471650098,2385
66.34543,68.65524,57.6726011685138,41.3560351229271,2494
68.13612,67.8185,58.1349739139503,42.0316596137727,2556.5
70.72428,67.18246,57.5376055864165,42.3429199753623,2548.5
72.47585,66.54694,57.2929882303359,42.9341016810231,2574
74.60748,66.14481,57.2662716404955,43.1540370479291,2585
69.10941,69.77457,56.0475972320531,41.3992576343526,2426.5
44.44293,103.5932,31.6275691717828,20.2664171272462,623.5
59.9501,108.6114,22.4693642327174,12.3029235420012,250.5
35.61874,98.20133,56.5321706369913,27.177042399525,1572
34.65275,103.3329,52.4817700982914,25.7798353155906,1413
34.74337,102.6401,52.565929181097,25.9461345142818,1425.5
35.42187,101.8056,52.8879466898776,26.6779238664286,1474
36.4551,101.2413,52.2468673585521,27.2154236035399,1486.5
36.92577,100.8796,52.2163228852942,27.2793123161475,1488.5
38.57866,99.99323,51.825645246955,28.1326418454404,1524.5
40.87023,99.16408,51.4011418493527,28.7575636134546,1545
42.60186,98.36203,51.1167526760943,29.4498971218404,1574
45.31862,97.93725,50.3596634135069,29.9193423135352,1575
47.06451,97.91884,50.2761699018691,30.2780797422706,1591.5
49.15002,98.16376,50.2206369354855,31.1709760631882,1637.5
51.19994,98.40199,49.9961456727467,31.6330921763089,1653
52.49567,98.50592,49.7510813630193,32.1942409430691,1674.5
54.52805,98.53573,50.2127080323247,32.6427340699718,1714.5
56.68834,98.37204,50.3449145466241,33.4546355507849,1761
57.90659,98.2524,50.6991129957251,33.747759381557,1789.5
59.33157,98.03179,50.3741439518618,34.1392436669482,1798
60.52168,97.78915,50.9567691333477,34.2008218378364,1822
61.49671,97.98288,50.8399473564029,34.7909109765573,1849.5
62.85389,98.40948,50.3912287447235,35.2907764295451,1860.5
64.05015,98.79482,50.9413499844199,35.4895105024293,1891
46.3313,106.2339,48.8771814635714,27.2885168829348,1394.5
34.71893,110.1013,47.6056363472971,23.0831274542527,1148
34.83752,110.3843,48.037629881262,23.767033598946,1193
36.0196,109.8322,48.1870955617117,24.145637426484,1216
37.87432,108.7909,48.7258022276573,25.2381724468515,1285
39.56662,108.1361,48.0640095942254,25.8032973040028,1296
41.62821,106.7576,48.4959574283169,26.7656708421783,1356.5
49.32357,103.3549,47.070289191912,27.0702556946718,1331.5
74.7812,79.35394,49.0258945243674,37.0695468647142,1900.5
75.62688,78.64324,49.1673550389467,37.6352348000726,1935
78.28524,77.11188,49.1555417635595,38.220447494627,1965
80.61237,75.94611,49.5038064491864,39.1282625700002,2026
82.99937,74.50278,50.1390806004167,39.9652040769286,2096
84.73252,73.6242,50.510419093113,41.0026069763281,2166.5
86.06689,72.75108,50.8750319021138,41.4877379683603,2207.5
87.13808,72.28508,51.5078529309364,41.6109985230542,2241.5
87.91876,72.02669,51.2560296377895,41.944641924385,2248.5
88.1262,71.95291,51.5387299518425,42.2836237568851,2279.5
87.87629,71.95811,51.6078984827893,42.1589626926467,2275.5
87.23,72.25301,52.0007139928687,42.1999380936129,2295
86.06493,73.04059,51.6466348435311,41.958807281751,2266.5
110.4577,46.46741,52.7906472396756,38.1922701859594,2061
116.9806,36.13705,53.7749784034844,36.2860326627778,1953
114.3181,37.00926,52.7268434395341,36.7050427252772,1961
111.3619,37.84253,51.9000583766205,37.0830850875639,1965.5
108.8232,38.54519,51.6132483066692,37.2301221844309,1973
117.4713,32.23322,50.6493598177284,33.2483546911891,1703
118.2247,28.80978,51.1643655200807,34.3328341333866,1765.5
114.1758,29.84298,51.2234554035766,34.2873373167823,1779
110.4258,31.50634,50.65375193203,35.5603679644666,1853.5
106.7752,33.45537,50.3370715889396,37.4083452790296,1942
104.2768,34.63548,50.4824154755336,38.4525486287215,2009.5
98.93494,37.82388,51.056359738911,40.1989245092171,2134
95.19122,40.13078,51.5046063042308,40.8030822658388,2192
73.8653,56.47759,50.4074169210235,37.7349219389074,1989.5
56.53567,71.44093,50.7906712506213,34.8672222154668,1852.5
52.94964,73.8002,51.5860663922017,34.1737763105695,1843.5
50.70335,75.33911,51.8201558323918,33.5340673757977,1817.5
47.22231,78.30932,52.7437132746059,33.3446838479273,1839
45.28293,80.66538,53.3128587841697,32.5689230848705,1815.5
44.23845,82.74653,52.877979569441,31.7015364149366,1753
43.44493,85.04599,51.9057657385874,31.4557893204318,1707
43.20641,86.32722,51.8908196237947,30.7202547353385,1665
43.63379,88.47777,50.3297501697228,30.3523323484702,1597
43.67009,88.59959,50.5693680553563,30.3535336054619,1605
43.94851,89.01614,50.2602103933124,30.0618295411883,1579.5
50.00031,104.3372,49.749473446767,31.0776338669246,1616
54.4753,113.1834,50.544662499017,31.2176384965126,1649.5
55.06372,115.1778,50.1258626116822,31.3387353340235,1642.5
55.74913,116.7231,50.587658547571,31.5929972273706,1671.5
56.52548,117.4113,51.2086975544929,32.1792538092685,1723.5
58.62465,118.4372,51.7129575236704,32.8568098910407,1777
61.4244,119.6055,52.3399808181253,33.8389391625725,1852
64.28465,120.5507,52.5043978688601,34.4059959705121,1889.5
66.683,121.2531,52.1543078043187,34.964919228869,1908
68.66736,121.844,51.8153254931783,35.3857068992387,1917.5
69.86054,121.8949,51.5470814073787,35.5520198265188,1917
71.87016,121.7932,52.0727631746618,35.8199523010654,1951
74.83949,122.0749,52.175142924058,36.7008534282744,2003
76.5157,122.2864,52.2548051765751,37.2963314256606,2038
78.3438,122.1135,52.9188046530139,37.9930964538366,2103.5
79.73873,121.9935,53.3393278224257,38.3791597678294,2141.5
80.62504,121.9044,53.6268593781548,38.8292925326945,2178
81.86343,121.8193,53.7419987738844,39.2523207449164,2206.5
83.51054,121.1263,54.3198842237646,39.7846725735194,2260
84.80523,120.1929,54.3449434779055,40.2535735513417,2289
86.72066,119.112,54.6394643583944,40.6488113158686,2324
89.16618,117.1566,54.5520716882499,41.382047588001,2362
85.52989,115.0624,71.7502332609447,39.6217209313473,2617.5
62.42778,177.4296,49.9335499208973,27.1112191951974,926.5
20.55386,170.4806,45.6408715835895,19.4928692174802,687
75.51442,98.98185,48.2535604775981,38.3504269705347,1919
73.15485,97.31428,52.6502350499752,38.9141111539766,2143
72.62566,98.13945,52.4366804097981,38.4635454739306,2109.5
72.13313,98.8504,52.0899509376183,38.0729229919703,2074.5
71.54639,99.42878,51.9180345729139,37.8034081474621,2053.5
71.22666,99.58264,51.9697488078434,37.7675497451687,2053
70.89963,99.6915,52.0433339234197,37.7293643679238,2054
70.54328,100.1092,51.6829421744615,37.5038147151988,2027.5
70.64935,100.4031,51.3274936345194,37.2709692772922,2001
70.76656,100.6727,51.3239850727273,37.351993325837,2005.5
83.93311,94.52462,51.3578887175961,40.9486588067158,2200
83.00227,94.89424,51.3062446826931,39.6355112954443,2127.5
83.09697,95.81911,51.105728647783,39.677516733379,2121
82.63287,95.77071,50.9604395904096,39.6807312142537,2116
81.86895,95.07155,51.0957776570074,39.8345748074517,2129
81.26251,94.4904,51.0448008026029,39.8383750364824,2127.5
80.5871,93.6815,51.1141586701724,39.7268398015538,2124
80.31579,93.28573,51.1106312707417,39.6095336965101,2118
80.2068,92.96424,51.0544942505685,39.5504072086598,2111.5
80.60258,93.46313,51.2647862091863,39.8684676187433,2138
81.18523,93.88925,51.480949258444,40.186516416598,2164
81.64072,94.31983,52.0459676386963,40.3468824418751,2197
82.24905,94.89954,52.3635194134242,40.6456531735342,2226.5
82.73904,96.27189,52.6242620993081,41.2808766393892,2273
82.96426,97.03844,53.0573799389885,41.2345726258534,2289.5
83.00919,97.89397,53.4645380335046,41.8330195685154,2339
83.29834,97.81654,53.9040347967948,41.8005762351096,2357.5
83.43379,97.51883,54.6747539001135,42.3047502737979,2420.5
83.04491,97.05276,54.8950358987165,42.4985988058987,2441.5
82.46922,96.73158,55.0115387585968,42.4660396533976,2444.5
82.00272,96.7393,55.2652454627059,42.4202779646264,2453
81.83299,97.03738,55.0690936985774,42.1810694807182,2430
81.52545,97.66936,55.0285646041035,41.9666789254473,2416
81.30157,97.7505,55.1131358424759,42.1267998447172,2429.5
81.25273,97.90439,55.4215851250089,42.1428158389203,2444
81.05494,98.01742,55.1069266050389,42.1475844907033,2430
80.94225,97.9417,55.0004532059177,41.8835727110062,2410
80.64558,97.62477,54.7950724776496,41.6401161683758,2387
80.38468,97.25745,54.3237943416691,41.2320973068811,2343.5
79.93974,96.91833,53.8964976223504,41.1515111780235,2320.5
79.34398,96.65883,53.210286033007,40.4870482171134,2254
78.90063,96.53397,52.4236207852616,40.0252469392927,2195.5
78.55788,96.77827,51.7579444953568,39.3590160774756,2131
78.6845,97.2066,50.776045896041,38.6952857902363,2055.5
78.70581,98.07969,50.1902113042537,38.3659105852225,2014
78.66253,98.38483,50.1032990608645,38.396550007972,2013
78.82813,99.26456,49.9014644482517,38.0277048924861,1985
88.93209,120.4742,48.8968610660682,37.2953334421884,1907
93.10891,130.4778,50.2054955045925,37.4205780828227,1965
93.33722,130.6555,50.1020388802295,37.6415269426769,1973
93.27285,130.6581,50.6248482486915,37.7746541211704,2000.5
93.19684,130.6456,51.0017081207054,38.1572717077107,2035.5
93.07114,130.7607,51.2247456226238,38.4345410818964,2059.5
93.15916,131.1055,51.5482807801793,38.5328373129851,2077.5
93.04324,131.1362,51.5555184522813,38.4401409311909,2073.5
92.80803,131.0762,51.2022939608402,38.3031235379011,2051.5
92.88373,131.1848,50.6786135565452,37.9575789994963,2012.5
92.89947,131.1147,50.8188844595835,37.9196129808483,2016
93.34361,131.2253,50.5954232523868,37.7083549598635,1996
93.50815,131.1567,50.4889142262447,37.7636941207277,1994.5
93.96931,131.1172,50.4541524241861,37.8675874762916,1999
111.0069,106.8528,51.2160163068669,41.7332424351085,2236
119.7394,84.73524,52.9589129673633,41.0225277678044,2219
114.5078,86.46648,52.3070946272444,41.9312121124843,2264.5
109.003,89.20724,51.5253852060345,42.5086178868456,2284
105.51,90.84286,50.9400527008092,43.0022797740646,2290
103.2154,92.18664,50.7124310890683,42.8984581353703,2274.5
