X,Y
176.915,123.0259
177.9035,121.9983
178.5694,122.1938
178.827,122.846
179.3014,122.8469
179.5852,122.916
178.1058,122.3255
177.9352,122.2794
178.3921,122.0847
178.3539,120.8895
177.9368,122.5366
177.3703,122.3552
177.1843,122.9841
176.4742,122.8416
211.7232,139.7462
337.8095,244.2681
363.0975,264.0123
371.9234,269.4247
370.8122,269.5244
370.0768,267.5135
370.1881,267.8326
372.2363,268.3684
372.8561,269.9827
371.3525,272.1492
369.6251,266.0291
337.0145,254.44
176.7098,180.8121
141.5717,166.1873
149.6096,172.0228
154.5882,177.4755
159.3014,182.4877
162.785,190.2307
165.9878,196.343
168.5948,202.6435
172.4514,209.3636
174.5394,215.8504
175.8102,222.881
215.44,212.2969
269.399,206.9439
269.9526,212.4766
268.0947,214.5839
267.6594,214.413
266.0194,217.6677
250.9808,217.3154
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
281.6888,286.829
284.9274,244.776
283.6896,267.8046
281.2988,266.6257
280.965,268.2595
276.7922,268.4138
273.4994,270.8137
266.3521,267.8165
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
117.3039,216.1603
123.3231,177.9608
129.9702,177.9788
136.2171,185.2841
140.0372,193.4346
143.1084,203.2742
144.5192,216.9836
132.1461,228.7172
111.3325,246.8308
112.3228,261.2061
111.2244,273.0279
110.4293,277.9798
109.3524,280.8459
108.0455,281.001
107.3583,279.397
117.1681,284.7936
126.8907,308.9703
128.9952,309.6165
130.3322,310.5079
131.0836,312.6112
132.0887,312.5031
133.0692,315.1835
132.7703,317.2468
164.1664,308.6159
197.3471,307.7186
196.4997,309.1779
196.3726,311.6625
196.1558,311.2793
197.2738,310.4779
196.3749,311.3812
196.2411,313.2321
197.2881,313.2735
197.8541,314.1569
195.9107,315.2076
145.9758,272.5669
150.1987,272.5081
151.7859,270.1143
152.4703,270.7792
153.0117,270.4446
152.364,272.3006
152.6895,272.5413
152.1836,272.1801
180.9575,293.78
210.2735,318.1724
209.9764,319.3604
208.2241,319.2601
206.3901,316.0068
203.1757,313.9789
198.1358,314.7245
194.4733,316.515
242.4682,312.6046
281.6727,303.5536
276.2969,305.1804
271.0903,305.2625
268.8096,296.6754
266.5898,294.8725
262.6111,295.4504
258.8106,294.185
257.4958,293.9092
265.3581,294.1265
260.7289,291.3029
257.2989,295.3618
255.2075,295.2236
250.9155,297.1312
249.2544,296.3283
248.3285,289.2849
248.0881,286.1059
247.1782,284.285
246.3011,281.3644
246.2776,279.1862
245.2307,280.5413
245.8185,280.6635
245.7316,280.7089
245.0192,283.4218
245.7056,281.2367
245.1329,283.9238
246.6494,283.9967
207.9485,286.8215
111.876,319.0743
107.5558,321.1938
109.0633,327.9635
