Target.X,Target.Y,Pupil.X,Pupil.Y
283.0947,151.3391,118.3407,121.4088
375.3255,233.4206,98.06361,171.4517
220.7325,226.2379,172.2259,157.7233
300.9536,151.6599,110.332,123.5277
439.3462,277.9163,85.02979,199.9611
229.558,72.69283,133.7383,76.81725
451.8867,118.6185,61.96501,142.92
406.36,139.6326,99.87585,181.11
238.7127,291.9468,165.2988,182.8482
262.2544,81.70212,171.947,202.5048
