X,Y
234.1056,164.7325
231.5689,164.5471
227.643,164.6563
224.4082,164.7923
223.0306,165.2963
220.3558,165.2088
219.113,165.2278
218.5512,165.3265
218.7172,165.4521
218.7617,165.4611
226.4476,165.3854
364.3672,161.5237
365.3751,163.4821
365.8895,163.9709
366.2067,164.2856
366.3365,164.1082
366.5451,163.8872
366.6519,164.1025
366.7333,164.148
367.3755,164.4698
367.7203,164.6816
367.9811,165.2323
368.5109,165.9982
368.4801,166.7641
368.8157,167.3137
375.8802,151.3199
376.7335,151.5382
377.2777,152.0161
377.4283,152.2275
377.2051,152.3129
377.2826,152.9004
377.55,153.6615
378.1964,155.1278
378.7221,156.4713
378.7493,156.9378
378.1974,157.3817
413.5677,173.9698
414.505,175.8527
413.8004,174.9978
413.6165,174.4882
413.5874,174.2618
413.6353,174.4825
413.5855,174.9146
413.6386,175.7218
413.6332,175.9648
413.5061,176.1393
412.9164,175.6685
412.8217,175.669
412.4521,175.2541
412.6378,175.4287
412.7646,175.5072
412.3331,175.6525
390.8946,162.4578
391.5367,163.3729
391.6814,164.1998
391.6083,164.3151
391.4258,164.1845
390.4724,163.5079
389.6367,163.0754
389.5432,163.0532
389.2914,163.3267
389.2787,163.6666
389.2581,164.0579
393.7109,169.6922
393.5884,170.0767
392.6802,169.8311
391.6073,169.1864
390.882,169.5192
425.6987,188.7815
426.2925,191.9289
426.1663,192.7807
425.9572,193.1828
425.5916,193.4809
425.1167,193.8026
424.9384,194.1031
424.9997,194.44
425.1075,194.8698
424.9659,194.6497
424.8192,194.4168
429.5744,200.3382
429.2551,199.8385
428.3694,198.4312
428.11,197.7513
428.1089,197.755
428.0471,197.5578
427.9935,197.3702
419.9261,191.1276
368.5122,154.976
368.1737,154.7558
367.899,154.7336
367.986,154.6747
368.4358,154.6349
368.4952,154.3283
369.0489,154.4225
369.4905,154.5495
370.0818,155.0644
370.3395,155.3158
370.7092,155.4392
370.7931,155.5147
371.3633,155.5838
339.9383,134.8633
339.227,133.9905
339.1793,133.8199
339.5398,133.9442
339.9531,133.9174
340.3243,134.125
340.3648,134.1942
339.8978,134.2487
339.8964,134.8526
340.3318,135.4611
341.2329,135.929
342.0961,136.5935
342.413,136.8562
342.6669,137.1854
342.5411,137.2039
324.8874,123.6132
325.5212,124.4906
325.3123,124.6076
325.0756,124.6769
324.666,124.5488
324.5196,124.1552
325.3658,124.7886
326.015,124.9498
326.128,125.0176
327.0378,125.3566
328.2338,125.9986
328.793,126.2697
329.0092,126.4165
329.2039,126.5308
329.9745,126.9352
329.8944,127.1013
330.1809,127.4546
330.362,127.5343
330.7947,127.6937
330.4335,127.6874
330.8641,127.9648
330.1921,127.6588
330.5274,127.5674
330.5601,127.9148
330.1683,128.0183
330.1216,128.1646
330.3318,128.4709
330.6792,128.9337
331.0156,129.1991
330.9147,129.0906
331.0893,129.5459
331.2292,129.8893
331.1831,129.9335
331.5289,130.3912
331.8404,130.7629
331.8742,131.014
372.1339,146.6738
461.9115,242.9653
461.3719,242.455
461.3748,243.2821
461.325,243.5634
461.3649,243.4505
462.9371,247.2524
464.3611,251.9276
464.3787,251.86
464.4157,251.8795
464.365,251.4542
464.4096,251.4802
464.4364,251.5446
464.4217,251.47
466.5396,260.5409
466.6366,261.2489
466.7425,261.8328
466.8908,262.6883
466.7224,261.8226
430.3793,199.1897
250.183,319.261
347.3691,350.4316
361.612,157.1194
318.1593,122.0521
321.6628,122.6663
324.3564,123.9082
327.6709,124.9667
329.7299,125.5746
331.6572,126.1848
332.375,126.3745
318.3801,121.1537
318.8051,120.2933
319.8626,120.8689
320.6982,121.5296
321.8834,121.8684
324.4352,122.9203
325.355,123.3528
325.6639,123.7693
326.7005,124.6253
327.5752,125.7026
328.1721,126.2509
328.6869,126.4511
328.6957,126.4729
328.8717,126.1102
329.6187,125.7096
329.9447,125.4722
340.7313,129.4462
341.2115,130.9393
341.9063,131.392
342.9339,132.0277
343.587,131.8408
343.86,131.8157
343.1394,131.3791
342.5293,131.0107
342.3421,130.8705
342.1956,131.0632
342.3649,131.5171
341.907,131.4315
341.8035,131.7735
341.7026,132.0343
341.9921,132.3384
342.0615,132.5986
342.2808,132.7712
342.5061,133.2062
342.6596,133.5878
342.7538,133.841
342.779,134.0819
342.8392,134.0426
343.3476,134.1548
343.5239,134.1461
343.8936,134.293
343.3215,134.3855
343.6135,134.8763
343.8568,134.8428
336.7255,128.6173
337.0394,128.6013
336.3552,128.1201
335.6894,127.5117
334.428,126.5202
334.1578,126.2814
334.6591,126.3096
335.268,126.6223
335.3542,126.5541
330.3174,122.3071
330.7722,122.7981
331.1833,122.8256
331.1062,122.7723
330.4068,122.3625
330.4737,122.4568
330.5948,122.138
330.6565,122.0797
331.3454,122.5062
331.6443,122.5638
328.481,120.6125
328.2039,120.7096
327.5709,120.1662
327.1684,119.7601
326.7643,119.4169
325.7797,118.8512
325.9608,118.8554
326.2471,119.0826
326.0104,119.0091
326.3545,119.1601
326.7755,119.6114
327.0534,119.9296
327.2036,120.2918
327.2598,120.6377
328.2525,121.2864
328.9298,121.4811
329.4561,121.6926
330.0208,121.9465
330.8141,122.3503
331.6091,122.9043
331.6626,123.2459
331.7365,123.643
331.8463,123.846
331.4511,123.8006
331.3757,124.0214
330.7105,124.3683
330.4191,124.3702
330.5286,124.5173
330.8244,124.5931
330.8432,124.8963
330.0298,124.6942
328.9375,124.3549
331.7199,121.482
338.7144,119.075
337.6645,118.766
335.4948,118.1801
333.4715,117.4817
331.4425,117.0421
329.7746,116.7062
327.5496,116.029
325.1589,115.4567
380.2227,142.8353
396.0415,161.8466
394.3656,161.8182
393.1767,162.01
391.4337,161.5586
389.5099,161.223
387.9183,161.3329
386.8005,161.3512
385.829,161.5672
383.6756,161.563
381.6713,161.5842
381.8282,162.6465
417.2192,187.5181
416.9777,189.1368
414.8624,189.4585
412.8898,189.0232
411.465,188.8201
408.7416,188.2527
440.5883,238.531
435.6289,240.5812
434.0114,241.2452
432.0397,241.9338
430.3368,242.7182
428.729,243.4295
426.9231,244.1562
425.1978,244.8643
423.1782,245.5392
421.5777,246.1423
408.7878,187.7917
361.099,123.1161
359.4862,121.0402
359.1884,121.4721
358.2472,121.4573
357.5378,121.2321
356.3956,120.9916
355.604,120.9227
354.4962,120.9433
353.7397,120.903
353.229,121.4477
352.2321,121.7838
352.304,122.5977
351.9027,123.2047
351.752,123.7854
351.6718,124.1164
351.4077,124.7168
351.3284,125.0875
350.999,125.2713
350.8922,125.8373
350.8167,126.4541
351.08,127.1516
320.9479,133.0123
307.6331,138.7988
308.3151,139.4942
309.2606,139.9491
309.5977,139.9209
309.3931,140.6046
309.8889,141.0623
309.2043,141.3084
345.8518,142.4842
356.6277,143.1055
355.6887,142.9445
354.0958,142.5756
352.7727,142.0321
351.5814,141.4771
348.9526,140.61
347.1781,140.2694
344.6816,139.3598
359.6013,136.5752
358.8969,134.1711
354.8658,133.2822
352.2795,132.6667
351.0228,132.7884
350.2014,132.7138
348.848,132.8047
346.6448,132.7612
345.0533,132.8648
359.9957,133.7071
361.1654,134.145
360.6844,134.1181
360.5001,134.6532
358.2214,134.4933
356.4516,134.2441
352.7587,133.5652
349.8469,133.0964
348.872,132.8648
346.5065,132.1959
343.6983,131.7899
341.8169,125.023
341.5713,125.3064
340.2456,125.8751
338.7888,125.6982
338.0959,125.3453
336.8805,125.2152
334.137,124.933
332.8291,124.7437
329.1642,123.9326
327.5734,123.5336
333.8629,127.4377
413.9665,212.4879
409.6246,213.2493
407.4261,213.6905
405.6622,213.583
403.9803,213.6114
401.4068,212.868
398.2928,212.4654
395.8002,212.4575
393.7108,212.3835
390.7985,212.53
389.0644,212.7521
388.4489,213.1232
386.6559,213.8175
381.0351,174.7315
349.6788,122.233
351.1726,124.3206
350.9863,124.8189
350.2458,125.3987
350.3948,125.8967
350.5543,126.388
350.1639,126.7664
349.379,126.7863
348.7692,127.2661
348.6753,127.6388
347.4779,127.9004
347.0077,128.1396
347.116,128.5832
346.3468,128.5601
345.7171,128.3621
344.584,128.1815
344.507,128.1958
343.7823,128.0368
343.72,128.2002
344.3814,128.7827
344.7805,129.2502
344.1855,129.0198
344.1524,128.9147
344.0446,128.9157
343.3867,128.6157
343.0979,128.6436
343.0437,128.7647
342.6976,128.6764
342.4112,128.7427
341.8651,128.7465
341.91,128.859
342.1549,129.4145
341.6547,129.552
341.2493,129.5631
341.4047,129.9173
341.6095,130.0615
341.915,130.3418
341.9571,130.3604
341.9323,130.4652
341.9608,130.4575
341.5615,130.4351
341.4849,130.3658
341.1299,130.1614
341.0634,130.1388
340.8615,130.0883
340.7277,130.1737
340.1912,129.951
340.0808,129.8064
