X,Y
220.1732,386.2087
220.335,384.3011
220.5721,383.1236
219.9444,382.7907
219.1743,381.6121
218.4405,382.5064
228.684,379.0452
229.3328,366.5762
220.6896,363.7261
222.2953,356.8755
223.9088,354.0111
220.5477,359.0696
243.42,323.2747
220.5336,359.1145
203.2266,386.441
249.5236,349.5861
313.2225,401.0634
293.7343,381.9598
425.333,427.3998
1067.87,672.0673
574.7875,486.4889
377.8168,439.0622
240.6494,358.4115
235.2332,348.0693
234.254,345.8313
226.399,352.4305
229.294,347.4776
228.0769,348.5791
228.5166,347.5917
225.8471,351.7556
226.7802,352.0367
234.0737,340.9579
233.7659,341.2801
232.1106,344.1516
231.8742,344.4192
234.1524,340.102
233.0232,342.0764
233.559,341.0768
232.7812,342.5714
232.9358,342.9254
233.172,342.8887
232.7829,343.2551
231.7053,345.2753
231.3011,346.2729
231.9771,345.1952
230.9831,346.8474
232.2308,344.7642
232.6301,344.4726
232.749,343.2837
231.5185,346.5328
231.9504,346.4128
231.2514,347.915
232.8657,345.3403
232.9637,344.7404
232.0188,349.0002
230.9656,350.4232
232.3297,346.9377
232.4707,347.3159
230.391,351.4639
219.1057,364.2582
216.7525,366.8157
217.6369,365.0831
223.4992,356.1589
231.9677,349.2677
232.3281,344.592
231.7807,345.1284
232.9976,342.5146
233.0613,342.8839
231.4435,345.6093
233.0134,342.7846
231.7401,344.9857
231.5637,345.1067
232.0455,344.0424
232.9472,342.6772
232.1703,343.9988
232.7088,342.6703
232.9803,342.329
231.77,344.3726
232.8161,342.1058
231.4267,344.8449
232.0017,343.7569
232.4915,343.2355
232.3206,342.8517
232.0524,343.9043
230.6411,346.4108
231.2172,344.9207
231.6895,344.2586
231.2986,345.0322
230.7735,345.3352
231.4121,344.3376
230.9276,345.7841
231.3198,344.4254
232.5407,342.8882
232.6172,342.3129
231.0497,345.3648
226.9688,351.6644
231.2297,344.9239
231.9445,343.8195
225.0823,355.6973
232.5196,342.5205
226.7147,352.6925
232.2494,342.56
232.9552,341.3582
224.8821,354.9802
231.8155,343.5294
226.2847,352.4773
231.4388,343.8517
231.1356,344.8553
232.2642,342.427
226.3729,352.1726
232.3113,342.5914
232.0931,343.0845
232.8631,341.3477
231.3565,344.1664
232.022,342.942
232.0408,342.9973
225.0574,354.6429
233.104,340.8486
231.432,344.2653
231.7192,344.4329
231.4114,345.7217
231.009,346.6644
231.9131,344.895
231.669,345.3391
232.0243,344.7097
231.5487,345.4676
231.9516,344.8788
231.9065,344.5621
232.4173,343.7428
232.4173,343.7428
231.7835,345.313
232.3262,343.8956
417.6859,320.4536
417.5494,320.4748
234.7865,339.2191
415.5928,319.419
415.8608,319.4781
416.2135,319.6387
416.8269,319.9144
414.7904,318.8959
414.4987,318.6805
416.078,319.27
422.2549,325.8846
233.483,340.6047
233.9779,339.7188
423.3753,326.5963
233.5005,340.787
235.1646,338.4326
235.5413,337.8406
421.3115,325.0145
236.3987,336.632
234.9504,338.9095
420.0422,324.4231
420.7018,324.2228
421.2518,324.7507
235.4573,338.2321
421.1685,324.8949
236.2336,337.174
236.2336,337.174
235.9807,337.6111
421.1634,325.0665
230.3541,344.2368
231.5213,344.1561
225.8694,352.9576
232.2112,342.3137
231.5032,343.9053
233.4362,340.0481
231.5048,343.7148
223.3207,356.2965
237.236,335.6643
235.9608,337.2577
427.803,326.8805
233.3388,340.473
230.266,344.787
231.1694,343.5056
231.7645,342.7406
231.4892,342.9838
231.7536,342.4659
229.4948,345.6823
438.023,331.7954
229.25,345.878
225.3989,351.6053
445.8502,335.4971
225.7361,351.0893
216.5018,365.3311
451.6334,338.8948
452.6431,339.3483
223.9985,353.8481
219.1528,361.1714
450.1063,336.5815
222.631,355.9252
218.8018,361.6656
424.0774,324.6335
424.9013,324.6779
423.9523,323.734
423.681,323.4584
422.7745,322.7326
422.9408,323.0429
422.1007,322.6479
421.0626,321.7322
421.1619,321.3107
421.8703,321.981
420.3347,321.0873
420.6274,321.5152
230.9594,343.6054
224.7318,352.6304
225.2947,351.7803
438.0739,329.2875
439.2799,330.0284
439.6183,330.7896
438.4397,329.8456
225.7169,351.1126
227.4849,348.4491
437.4461,329.3867
438.7372,330.5838
438.7282,330.1752
225.826,350.9542
225.3727,351.6323
225.6313,351.2416
226.9436,349.2787
225.0294,352.1482
226.5608,349.8378
226.0128,350.6688
437.1505,329.6005
436.3872,328.9548
224.7319,352.6339
225.2755,351.7787
434.1591,326.8638
