Item1.Centroid.X,Item1.Centroid.Y,Item1.MajorAxisLength,Item1.MinorAxisLength,Item1.Area
76.80086,243.7573,35.0272537746017,28.834224142153,1052
77.30003,242.3652,35.8611983680895,28.6372284624673,1071
77.73806,240.8732,34.982170412423,28.2584498719366,1029.5
78.69791,240.0625,35.368090284191,28.6200590096775,1056
78.64654,239.8147,35.1781851195827,28.6416218797009,1051.5
78.66496,239.5026,35.6157278666953,28.8585534231127,1071
78.73678,239.4068,34.8886396656834,29.0134985543871,1055.5
78.66394,239.0103,35.6383613926226,28.1024253129695,1040.5
78.59175,238.8593,35.8545248859098,28.7517180243863,1074.5
57.77845,230.2543,35.2535282629926,24.9125140701474,902
44.47794,220.9401,33.6505975303047,20.3702695575598,706.5
42.32762,221.613,32.7154137885892,20.3129661455085,671
41.57402,222.4288,31.8797633528081,21.5366783854759,707
41.01133,222.6436,32.3868866696052,22.3013529045837,750.5
41.06658,222.2251,34.0362990929731,21.6420160159556,763.5
40.52227,222.6254,34.805432959127,22.2548209508872,804.5
40.40307,223.0805,34.2487678017799,22.564548774838,803
44.73505,225.3715,33.1552331393026,17.3684602707333,563
NaN,NaN,0,0,0
NaN,NaN,0,0,0
NaN,NaN,0,0,0
75.27978,216.1976,16.7462687170624,10.5186577885467,180.5
75.06104,205.9498,32.1699156629173,29.1903615096477,953
74.62902,206.4872,38.1458275756993,29.8838196181628,1182
72.83739,207.1243,40.9163185734761,31.223045470039,1332.5
72.04858,208.1467,41.1407037365273,30.7721576995483,1321
70.77316,208.9401,41.2212368003592,31.8599042360792,1371
70.3175,209.2476,41.3724107740262,31.1729696838932,1347.5
70.06367,209.1466,41.2404202583813,31.5164794424908,1358.5
53.6554,226.8293,39.9852905468252,27.4105890013566,1138.5
36.05592,265.2888,36.700338444763,19.0662278478605,688.5
30.94245,281.0384,17.5003787949814,7.05651713015298,69.5
30.72667,279.8987,26.3772945007743,9.61345828270087,125
33.66878,288.2116,23.1566876183447,10.8318851889138,157.5
33.99469,286.5287,23.8484199862837,10.3756329050988,188.5
35.06017,285.7419,26.7604131720753,11.3600881820426,210.5
33.66936,280.4629,13.8983094787853,10.9746918124654,123.5
28.04582,273.51,26.2180686292516,12.3845895682913,225.5
28.68033,270.5371,39.0242431239658,10.4042730580877,280.5
26.98071,269.7927,35.4372501159179,11.6604818439031,406
27.95381,271.1102,39.9743448858366,11.7505572365436,317.5
27.71799,268.854,38.9985129631308,11.3758337854709,334.5
27.92517,267.9769,32.6194581134917,12.6929485956602,367.5
